xy_group_id,lon,lat,records,n_years,year_min,year_max,n_class_codes,n_class_group_codes,n_sources,country,country_code,has_temporal_repetition,has_thematic_conflict
SRC15_PAN_2021__XY__0235cbb7dbaf,-82.276031,8.405274,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__0247e9f8f482,-82.153867,8.552609,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__0249869ee6c1,-81.8947,8.45607,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__024fc31df7ad,-82.410389,8.51785,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__0251ac9f2e52,-81.883715,8.61663,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__025d09853eaf,-82.439366,8.370801,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02614b7f8950,-82.392667,8.63999,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02639578d968,-82.47566,8.363885,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__0263bb7430cb,-82.061019,8.652357,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__026d67e5289f,-82.474008,8.526656,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02748d86798c,-81.987578,8.365405,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__0279a953bc5a,-82.15353,8.439566,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02862cb23151,-82.394022,8.386788,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__0288ed1283d3,-82.280668,8.43465,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__028959d1a8fc,-82.297272,8.644847,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__028b26aa69d0,-82.427599,8.255549,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__028de8720c94,-82.298622,8.371289,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__029451a70758,-82.000959,8.270409,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02981344e207,-82.008351,8.496491,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__029c5f0e2d46,-82.344148,8.407308,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02a6baa3ed80,-82.269815,8.586158,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02a90bdeb773,-82.076534,8.514396,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02a94269feba,-82.007797,8.281697,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02ab115b2418,-82.466707,8.397828,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02abe4b2189f,-82.12911,8.629553,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02ad32d92145,-81.989633,8.279481,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02ad58cb47ad,-82.346108,8.316872,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02ae3e4cd9cd,-82.353128,8.377888,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02b1799a9412,-82.271314,8.35103,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02bdae125da3,-81.976619,8.521443,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02cad98f4be6,-82.140072,8.496128,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02d0517f7b2d,-82.107606,8.258823,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02d5d2d79ee2,-82.040379,8.582324,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02d9508fad7c,-82.483521,8.637389,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02da36062ae0,-82.2074,8.235926,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02dc7b931cba,-82.3942,8.436523,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02eb71eb2ce4,-81.919209,8.254778,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02ed9a1a3903,-81.929213,8.641394,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02f21bb2691b,-82.035321,8.390154,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02f4931e4047,-82.492131,8.515284,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02f4f8a3d91e,-82.452752,8.307454,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02fc17646719,-82.437648,8.52001,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__02fc1cc7702b,-82.395955,8.291832,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__03007362d4f4,-82.122055,8.548181,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__0306e971002c,-82.290029,8.518268,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__030b3fa5d26d,-81.89411,8.196046,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__030c80599401,-82.316844,8.389314,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__032a06de4e35,-82.461956,8.34133,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__032ddd1c7060,-82.412289,8.416112,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
SRC15_PAN_2021__XY__032f95694e91,-81.996683,8.374427,1,1,2021,2021,1,1,1,Panamá,PAN,0,0
