xy_group_id,lon,lat,country,country_code,source,source_id,n_records,n_extract_ids,n_classes,n_class_groups,n_priority_records,n_no_spectral_data,n_rare_spectral_records,n_thematic_conflict_records,max_alert_rank,median_ndvi,median_ndre,median_months_obs,max_spectral_alert_level,pct_priority_records,has_multiple_classes,has_multiple_class_groups
SRC10_CRI_2021__XY__d6a5207ae115,-85.4234,10.096671,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,2,0.4756944444444443,0.3416091954022989,11.0,media,100.0,0,0
SRC10_CRI_2021__XY__d6aba575a7e9,-85.215479,10.449372,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.4574210370489994,0.3088197071895122,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d6ae6801165d,-85.403501,10.471526,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.7039852779314459,0.4649332819418257,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d6b359a8feea,-85.421189,10.091123,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,3,0.7517124672941272,0.48185830921727074,12.0,alta,100.0,0,0
SRC10_CRI_2021__XY__d6b44420ceb3,-85.512889,10.386565,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.4798031421780282,0.32232672774387716,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d6b576e1a91f,-85.210278,10.193567,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,1,0,3,0.2033010074197329,0.15924512439134159,12.0,alta,100.0,0,0
SRC10_CRI_2021__XY__d6b6babcccc5,-85.672327,10.368238,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,2,0.45621941947094613,0.3872840555519318,12.0,media,100.0,0,0
SRC10_CRI_2021__XY__d6b7e9d78d8d,-85.528427,10.542137,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.7327633430513816,0.53930048496582,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d6c21491f545,-85.52399,10.498722,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.31312216930220405,0.23421033621643064,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d6c6463793e5,-85.446825,10.166776,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,2,0.37479921244235365,0.28397852491252823,12.0,media,100.0,0,0
SRC10_CRI_2021__XY__d6cc2e888a2e,-85.457803,10.158313,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,2,0.4954539890549893,0.38850739051665534,12.0,media,100.0,0,0
SRC10_CRI_2021__XY__d6d13cc56610,-85.545142,10.50586,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.7367392262052654,0.5417918754788195,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d6da06ff3417,-85.536791,10.525205,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.5937660843894061,0.41294193116122013,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d6df9102d7f0,-85.39051,10.399185,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.4104339273555549,0.26760771623171276,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d6e344a8d48d,-85.55786,10.51545,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.5538997632528584,0.4021655434123135,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d6e7a56f57ff,-85.335674,10.411485,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.4926192463177518,0.2969970147124191,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d6f28a384381,-85.466948,10.492958,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.22549798636775345,0.1764708549072146,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d6f93779cd2a,-85.372579,10.157933,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.821702694835537,0.5693179004257529,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d6fd2baac0b4,-85.556719,10.21802,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,2,0.2512179017863291,0.20760122988942437,12.0,media,100.0,0,0
SRC10_CRI_2021__XY__d6fddc7d2712,-85.264725,10.089584,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.4775419673498821,0.3370043167605355,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d6fe24c9844b,-85.696394,10.214888,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.7946538779024663,0.5910124766426598,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d7046f31f7c4,-85.501791,10.271992,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.8663850485976994,0.6278819795400601,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d705b20cc524,-85.198559,10.442195,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.5356208259035977,0.3765582567958864,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d707450968e0,-85.449898,10.459252,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.1772512862448009,0.13352855607401998,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d70bd1a666b3,-85.375929,10.443893,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.6286911106726323,0.37066152353037596,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d71216af1ee8,-85.395066,10.473976,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.6875168282685118,0.44588117666127813,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d71b3759055e,-85.493305,10.262379,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.5928941603242397,0.42854135875104804,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d7200cf5f727,-85.231543,10.23693,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.7935594650308864,0.5481279291134051,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d721fa2bfb81,-85.500152,10.379116,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,3,0.6141477470512235,0.43493786479166613,12.0,alta,100.0,0,0
SRC10_CRI_2021__XY__d722bab550a0,-85.474612,10.326414,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.6489613887346819,0.4676622880917552,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d72a148ed28f,-85.386363,10.416096,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.6523731593560564,0.46048983146772837,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d7372ad97db8,-85.382268,10.445073,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.765436196978748,0.5516317051967764,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d738ab46b0f9,-85.417138,10.117731,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,3,0.5092620236124956,0.4116599871268992,12.0,alta,100.0,0,0
SRC10_CRI_2021__XY__d73a951db753,-85.667936,10.270854,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,3,0.6466337237697863,0.454672792123487,12.0,alta,100.0,0,0
SRC10_CRI_2021__XY__d73bb0c64d7f,-85.685276,10.204233,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,3,0.5071783312173681,0.37718378711590916,12.0,alta,100.0,0,0
SRC10_CRI_2021__XY__d7453d464b15,-85.394904,10.437778,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.40924334688748254,0.28959088721498294,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d747e08101b6,-85.596308,10.218385,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,3,0.5092025655228165,0.40692397506608524,12.0,alta,100.0,0,0
SRC10_CRI_2021__XY__d7481b675774,-85.261084,10.236817,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.8733108345193663,0.6291376405114212,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d74b94367474,-85.515344,10.457741,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.44263611863161945,0.2450285641006038,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d74f5dde1ba6,-85.496082,10.387524,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,3,0.557053353792182,0.4021666387708745,12.0,alta,100.0,0,0
SRC10_CRI_2021__XY__d75232d70290,-85.578159,10.262209,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,2,0.46011350123681316,0.39599384388591496,12.0,media,100.0,0,0
SRC10_CRI_2021__XY__d75857a87598,-85.410867,10.10687,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,2,0.21513617909836663,0.19737701210134134,12.0,media,100.0,0,0
SRC10_CRI_2021__XY__d75c4bf5448a,-85.725842,10.230657,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,2,0.3873272973323963,0.356316474337915,12.0,media,100.0,0,0
SRC10_CRI_2021__XY__d75f3aa8f21b,-85.517872,10.102996,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.7347586573412415,0.5028987716312348,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d766eaff0d8f,-85.802445,10.319521,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,3,0.7472063516328165,0.5553218271971193,12.0,alta,100.0,0,0
SRC10_CRI_2021__XY__d767ad3cd547,-85.580029,10.258023,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,2,0.40918098036239214,0.3241285433825672,12.0,media,100.0,0,0
SRC10_CRI_2021__XY__d76a6c3a050b,-85.247852,10.089649,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.1756282076078276,0.1314529313234529,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d779d77ca1af,-85.271171,10.119727,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.6462371319235856,0.4416065236568722,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d77aa41e708b,-85.420204,10.14851,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.8511955217194587,0.620579126350072,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d781f8b3c0bd,-85.785655,10.361889,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,3,0.7188785046728973,0.5194805194805194,11.0,alta,100.0,0,0
SRC10_CRI_2021__XY__d787d40a8037,-85.206644,10.348041,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.7317115923434593,0.5373072779020949,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d78aeb78221c,-85.469284,10.186765,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,2,0.39549328836394415,0.3167788681347316,12.0,media,100.0,0,0
SRC10_CRI_2021__XY__d78b8be85adb,-85.533383,10.241505,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,3,0.6730360329063906,0.49667945345204423,12.0,alta,100.0,0,0
SRC10_CRI_2021__XY__d78d46f456e6,-85.530874,10.245675,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.821952390141895,0.578865298236594,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d78ed708f9fb,-85.668526,10.385094,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,3,0.5356155193483488,0.39916693658369473,12.0,alta,100.0,0,0
SRC10_CRI_2021__XY__d795bf7d51c0,-85.699578,10.544779,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,2,0.4639949431099873,0.34728712409819074,12.0,media,100.0,0,0
SRC10_CRI_2021__XY__d798aeaff26e,-85.579093,10.265834,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.0441176470588235,0.0393198724760892,11.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d798f43d61ee,-85.449988,10.478557,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.2270692605394978,0.18111577680479102,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d799748da8f9,-85.578428,10.410392,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,3,0.6002267725500943,0.45004032621986456,12.0,alta,100.0,0,0
SRC10_CRI_2021__XY__d7a4c49ae19a,-85.647626,10.318338,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,2,0.6697861380649439,0.4284651124235267,12.0,media,100.0,0,0
SRC10_CRI_2021__XY__d7a7f00476db,-85.470664,10.185819,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,3,0.6700653876444511,0.4974403381221142,12.0,alta,100.0,0,0
SRC10_CRI_2021__XY__d7a933c6053a,-85.763078,10.207942,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.8202618815066776,0.5775644351200653,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d7a971b3488d,-85.7887,10.290411,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,2,0.313758389261745,0.2472081047381351,11.0,media,100.0,0,0
SRC10_CRI_2021__XY__d7b084163021,-85.361966,10.142291,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,2,0.8392807419689874,0.5877279442839948,12.0,media,100.0,0,0
SRC10_CRI_2021__XY__d7b321ab4487,-85.350075,10.323339,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.8429086178306091,0.6102461542114199,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d7b737608132,-85.223916,10.446926,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,0,0,0,0,0,0.4288237922281323,0.29110754502117187,12.0,sin_alerta,0.0,0,0
SRC10_CRI_2021__XY__d7b758b7da51,-85.57415,10.505476,Costa Rica,CRI,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,1,1,1,1,1,0,0,0,3,0.6954456262104446,0.48339915246111564,12.0,alta,100.0,0,0
