xy_group_id,lon,lat,n_registros,n_paises,n_fuentes,n_anios,n_nivel1,n_nivel2,anio_min,anio_max,pais_grupo,conf_integrada_promedio,conf_integrada_min,conf_integrada_max,tipo_grupo_xy
XY_000000473435,-89.163707,16.039384,19,1,1,19,1,1,2000,2018,Belice,64.31234453489816,64.31234453489816,64.31234453489816,multitemporal_xy
XY_000000473503,-89.16351299999998,16.021316,19,1,1,19,1,1,2000,2018,Belice,89.00191282493331,89.00191282493331,89.00191282493331,multitemporal_xy
XY_000000473540,-89.163415,16.012282,19,1,1,19,1,1,2000,2018,Belice,85.19117789339364,85.19117789339364,85.19117789339364,multitemporal_xy
XY_000000473563,-89.163357,16.8525,19,1,1,19,1,1,2000,2018,Belice,92.69268791605771,92.69268791605771,92.69268791605771,multitemporal_xy
XY_000000473575,-89.163318,16.003249,19,1,1,19,1,1,2000,2018,Belice,90.56770413649792,90.56770413649792,90.56770413649792,multitemporal_xy
XY_000000473610,-89.163255,16.843467,19,1,1,19,1,1,2000,2018,Belice,56.973545945066356,56.97354594506635,56.97354594506635,multitemporal_xy
XY_000000473621,-89.16322099999998,15.994215,19,1,1,19,1,1,2000,2018,Belice,76.98765191113165,76.98765191113165,76.98765191113165,multitemporal_xy
XY_000000473669,-89.163026,15.976147,19,1,1,19,1,1,2000,2018,Belice,83.93763429653251,83.93763429653251,83.93763429653251,multitemporal_xy
XY_000000473687,-89.162947,16.816368,19,1,1,19,1,1,2000,2018,Belice,60.53173641004117,60.53173641004116,60.53173641004116,multitemporal_xy
XY_000000473693,-89.162929,15.967113,19,1,1,19,1,1,2000,2018,Belice,91.89172197118064,91.89172197118064,91.89172197118064,multitemporal_xy
XY_000000473708,-89.162844,16.807334,19,1,1,19,1,1,2000,2018,Belice,93.02815598396921,93.02815598396921,93.02815598396921,multitemporal_xy
XY_000000473709,-89.16283199999998,15.958079,19,1,1,19,1,1,2000,2018,Belice,82.46197175111061,82.46197175111061,82.46197175111061,multitemporal_xy
XY_000000473733,-89.16274199999998,16.798301,19,1,1,19,1,1,2000,2018,Belice,87.9294720428428,87.9294720428428,87.9294720428428,multitemporal_xy
