subset,nivel,fuente,clase,n_registros,pct_fuente_subset
ventana_2018_2022,Nivel_1,"CONAFOR -Inventario Forestal Estado Quintana Roo, México",31 Cultivos intensivos No-Arbóreos,32,4.507042
ventana_2018_2022,Nivel_1,"CONAFOR -Inventario Forestal Estado Quintana Roo, México",11 Urbano,6,0.84507
ventana_2018_2022,Nivel_1,"CONAFOR -Inventario Forestal Estado Quintana Roo, México",44 Otros arbóreo en tierras no agrícola,4,0.56338
ventana_2018_2022,Nivel_1,"CONAFOR -Inventario Forestal Estado Quintana Roo, México",22 Humedales,4,0.56338
ventana_2018_2022,Nivel_1,"CONAFOR -Inventario Forestal Estado Tabasco, México",22 Humedales,28,44.444444
ventana_2018_2022,Nivel_1,"CONAFOR -Inventario Forestal Estado Tabasco, México",41 Bosque latifoliado y mixto,15,23.809524
ventana_2018_2022,Nivel_1,"CONAFOR -Inventario Forestal Estado Tabasco, México","33 Cultivos extensivos, Pastizales y matorrales",12,19.047619
ventana_2018_2022,Nivel_1,"CONAFOR -Inventario Forestal Estado Tabasco, México",43 Manglares,8,12.698413
ventana_2018_2022,Nivel_1,"CONAFOR -Inventario Forestal Estado Yucatán, México",41 Bosque latifoliado y mixto,284,65.740741
ventana_2018_2022,Nivel_1,"CONAFOR -Inventario Forestal Estado Yucatán, México","33 Cultivos extensivos, Pastizales y matorrales",96,22.222222
ventana_2018_2022,Nivel_1,"CONAFOR -Inventario Forestal Estado Yucatán, México",31 Cultivos intensivos No-Arbóreos,44,10.185185
ventana_2018_2022,Nivel_1,"CONAFOR -Inventario Forestal Estado Yucatán, México",44 Otros arbóreo en tierras no agrícola,4,0.925926
ventana_2018_2022,Nivel_1,"CONAFOR -Inventario Forestal Estado Yucatán, México",43 Manglares,4,0.925926
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ Belize,41 Bosque latifoliado y mixto,11533,53.054559
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ Belize,"33 Cultivos extensivos, Pastizales y matorrales",4118,18.943785
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ Belize,42 Bosque de coníferas,1661,7.640997
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ Belize,31 Cultivos intensivos No-Arbóreos,1514,6.964762
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ Belize,22 Humedales,1072,4.931456
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ Belize,44 Otros arbóreo en tierras no agrícola,659,3.031558
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ Belize,43 Manglares,628,2.88895
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ Belize,11 Urbano,245,1.127059
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ Belize,21 Cuerpos de Agua,236,1.085656
ventana_2018_2022,Nivel_1,FCPF - Malla MRV-REDD+ Belize,12 Otras tierras,72,0.331217
