row_hash,n,tipo_revision
7338366778464895916,2,hash_atributos_sin_geometria
14015753049361081441,2,hash_atributos_sin_geometria
18229733332209778321,2,hash_atributos_sin_geometria
11906489975909569959,2,hash_atributos_sin_geometria
6893600044897080162,2,hash_atributos_sin_geometria
1449057155302599347,2,hash_atributos_sin_geometria
17154580378877163161,2,hash_atributos_sin_geometria
7683595504462247358,2,hash_atributos_sin_geometria
2259303390197987727,2,hash_atributos_sin_geometria
9707740022549096100,2,hash_atributos_sin_geometria
16852891877962047063,2,hash_atributos_sin_geometria
12158903332117249568,2,hash_atributos_sin_geometria
6686563348075069977,2,hash_atributos_sin_geometria
7832470051156744816,2,hash_atributos_sin_geometria
13231264231920545801,2,hash_atributos_sin_geometria
13070677210597550261,2,hash_atributos_sin_geometria
17249643229852169932,2,hash_atributos_sin_geometria
15923715302549674519,2,hash_atributos_sin_geometria
15391129187846269886,2,hash_atributos_sin_geometria
6884140879249874924,2,hash_atributos_sin_geometria
12343731487614069642,2,hash_atributos_sin_geometria
14831627693852847786,2,hash_atributos_sin_geometria
14351422057176674650,2,hash_atributos_sin_geometria
11659888031667089288,2,hash_atributos_sin_geometria
13707780686135300061,2,hash_atributos_sin_geometria
15286433447092065981,2,hash_atributos_sin_geometria
5923020199464279627,2,hash_atributos_sin_geometria
3508619302972960728,2,hash_atributos_sin_geometria
12493844550973333046,2,hash_atributos_sin_geometria
11046105174065437841,2,hash_atributos_sin_geometria
16089170250695748225,2,hash_atributos_sin_geometria
3166894425667498752,2,hash_atributos_sin_geometria
12648193255423500170,2,hash_atributos_sin_geometria
8989356053934437854,2,hash_atributos_sin_geometria
18100141661116668387,2,hash_atributos_sin_geometria
3144725225536909912,2,hash_atributos_sin_geometria
17298089691407458822,2,hash_atributos_sin_geometria
14974500693180301582,2,hash_atributos_sin_geometria
8144118219951348534,2,hash_atributos_sin_geometria
11398517113215488385,2,hash_atributos_sin_geometria
13345641026352397495,2,hash_atributos_sin_geometria
1782586115585445290,2,hash_atributos_sin_geometria
11579222421983243592,2,hash_atributos_sin_geometria
15635279961096582806,2,hash_atributos_sin_geometria
10074181053758547514,2,hash_atributos_sin_geometria
1319892461022774411,2,hash_atributos_sin_geometria
10138577864855594861,2,hash_atributos_sin_geometria
9754345982429777684,2,hash_atributos_sin_geometria
15647708211804636596,2,hash_atributos_sin_geometria
3812940301354421265,2,hash_atributos_sin_geometria
11635475691381929526,2,hash_atributos_sin_geometria
8759376016602562466,2,hash_atributos_sin_geometria
1069139058481510826,2,hash_atributos_sin_geometria
6370119684540857677,2,hash_atributos_sin_geometria
14263980274214718336,2,hash_atributos_sin_geometria
3221986810784734500,2,hash_atributos_sin_geometria
9001974535850484725,2,hash_atributos_sin_geometria
15346554903480717666,2,hash_atributos_sin_geometria
2282922713182420818,2,hash_atributos_sin_geometria
15461933938641310394,2,hash_atributos_sin_geometria
10446530775881483967,2,hash_atributos_sin_geometria
16739179009329648168,2,hash_atributos_sin_geometria
10797172258852369352,2,hash_atributos_sin_geometria
1188791960236777004,2,hash_atributos_sin_geometria
10133055968140613335,2,hash_atributos_sin_geometria
12749487385854385506,2,hash_atributos_sin_geometria
6106038867711541871,2,hash_atributos_sin_geometria
180645177010441474,2,hash_atributos_sin_geometria
16973506211830916258,2,hash_atributos_sin_geometria
12446824744065652440,2,hash_atributos_sin_geometria
17031810368629703666,2,hash_atributos_sin_geometria
8411065709912195521,2,hash_atributos_sin_geometria
16259951564681808431,2,hash_atributos_sin_geometria
8721357901312661305,2,hash_atributos_sin_geometria
9251331756211004856,2,hash_atributos_sin_geometria
8854912038881768065,2,hash_atributos_sin_geometria
15598660482581853959,2,hash_atributos_sin_geometria
13265393468682493840,2,hash_atributos_sin_geometria
9562655506247524342,2,hash_atributos_sin_geometria
17690375320073646452,2,hash_atributos_sin_geometria
2202293834542851129,2,hash_atributos_sin_geometria
5302673386350942597,2,hash_atributos_sin_geometria
1035974587356084865,2,hash_atributos_sin_geometria
8286711907453724013,2,hash_atributos_sin_geometria
431864802471472569,2,hash_atributos_sin_geometria
14252429324990964264,2,hash_atributos_sin_geometria
18000815807162133327,2,hash_atributos_sin_geometria
14117662573182539406,2,hash_atributos_sin_geometria
14718416557726945577,2,hash_atributos_sin_geometria
17533530929032079101,2,hash_atributos_sin_geometria
13539094728636513501,2,hash_atributos_sin_geometria
17278057852872893813,2,hash_atributos_sin_geometria
12396463472973209202,2,hash_atributos_sin_geometria
15016280621482634643,2,hash_atributos_sin_geometria
12502212124689020181,2,hash_atributos_sin_geometria
12100135498631597423,2,hash_atributos_sin_geometria
6368477247862935318,2,hash_atributos_sin_geometria
13729417015245432725,2,hash_atributos_sin_geometria
5029789354425634616,2,hash_atributos_sin_geometria
10416593781984724802,2,hash_atributos_sin_geometria
3500540281057134720,2,hash_atributos_sin_geometria
3516599843471858672,2,hash_atributos_sin_geometria
13856578831189489235,2,hash_atributos_sin_geometria
15003272928927363583,2,hash_atributos_sin_geometria
14836660212708545343,2,hash_atributos_sin_geometria
