pais,clase,n_xy,n_registros,score_medio,score_min,estado_score
México,445 Bosque de Palmas,4,4,83.127,82.746,suficiente
Belice,420 Bosque de coníferas,200,200,83.178,60.0,suficiente
Guatemala,411 Latifoliado maduro húmedo,1,1,83.192,83.192,suficiente
Belice,411 Latifoliado maduro húmedo,9027,9029,83.305,40.0,suficiente
Guatemala,430 Manglares,84,84,83.358,69.996,suficiente
Belice,423 Sabanas de pino,1461,1461,83.649,60.0,suficiente
Costa Rica,321 Café,15700,15708,83.676,40.0,suficiente
Guatemala,441 Masa arbórea ribereña,1,1,83.795,83.795,suficiente
Panamá,321 Café,6,6,83.946,81.865,suficiente
Honduras,321 Café,66598,68185,84.172,40.0,suficiente
Honduras,323 Frutales,38,190,84.193,56.831,suficiente
México,430 Manglares,16,16,84.344,78.13,suficiente
Belice,412 Latifoliado secundario húmedo,2500,2502,84.41,60.0,suficiente
Panamá,220 Humedales,16,16,84.464,80.054,suficiente
Honduras,332 Pastizales naturales y cultivados,3277,13766,84.675,40.0,suficiente
Panamá,325 Otros sistemas agroforestales o silvopastoriles,5,5,84.71,81.905,suficiente
Belice,313 Caña de azúcar,7602,7602,84.841,70.0,suficiente
Nicaragua,332 Pastizales naturales y cultivados,2,6,84.878,83.419,suficiente
Belice,312 Bananeras,1920,1920,84.897,60.0,suficiente
Belice,220 Humedales,1072,1072,85.1,60.0,suficiente
Honduras,314 Piña,594,594,85.155,70.0,suficiente
Guatemala,211 Cuerpos de agua natural,37,37,85.164,75.948,suficiente
El Salvador,333 Matorrales (barbecho o en descanso),49267,49267,85.503,70.0,suficiente
Honduras,312 Bananeras,1068,1068,85.657,70.0,suficiente
Honduras,333 Matorrales (barbecho o en descanso),3014,12950,85.791,40.0,suficiente
Costa Rica,323 Frutales,15,15,85.938,85.579,suficiente
Guatemala,333 Matorrales (barbecho o en descanso),357,381,86.266,40.0,suficiente
Nicaragua,220 Humedales,1,1,86.301,86.301,suficiente
Guatemala,332 Pastizales naturales y cultivados,708,767,86.495,40.0,suficiente
Honduras,325 Otros sistemas agroforestales o silvopastoriles,475,2219,86.881,56.284,suficiente
México,220 Humedales,36,36,86.948,70.0,suficiente
Honduras,420 Bosque de coníferas,5718,17708,86.994,40.0,suficiente
Panamá,110 Urbano,93,93,87.088,81.886,suficiente
Honduras,110 Urbano,271,1355,87.185,53.231,suficiente
Honduras,410 Bosque latifoliado y mixto,5597,23542,87.259,40.0,suficiente
Guatemala,112 Urbano discontinuo,83,83,87.294,76.118,suficiente
Belice,430 Manglares,627,628,87.299,60.0,suficiente
El Salvador,443  Árboles fuera de bosque y otras áreas naturales,1628,1628,87.373,70.0,suficiente
Guatemala,111 Urbano continuo,42,42,87.42,70.0,suficiente
Panamá,442 Plantaciones forestales,53,53,87.578,77.572,suficiente
México,333 Matorrales (barbecho o en descanso),325,327,87.715,70.0,suficiente
El Salvador,441 Masa arbórea ribereña,338,338,87.818,70.0,suficiente
El Salvador,331 Granos básicos y hortalizas  y otros,12834,12834,87.878,70.0,suficiente
El Salvador,315 Otros cultivos intensivos no arbóreos,96748,96748,87.985,70.0,suficiente
México,315 Otros cultivos intensivos no arbóreos,114,114,88.172,70.0,suficiente
El Salvador,212 Cuerpos de agua artificial,28,28,88.213,83.991,suficiente
El Salvador,112 Urbano discontinuo,17149,17149,88.233,70.0,suficiente
Honduras,210 Cuerpos de Agua,283,947,88.235,40.0,suficiente
Panamá,445 Bosque de Palmas,10,10,88.329,87.225,suficiente
Honduras,313 Caña de azúcar,6374,6374,88.632,70.0,suficiente
Guatemala,331 Granos básicos y hortalizas  y otros,112,112,88.908,79.74,suficiente
Panamá,210 Cuerpos de Agua,78,78,88.975,84.412,suficiente
El Salvador,332 Pastizales naturales y cultivados,83525,83525,88.998,70.0,suficiente
Honduras,331 Granos básicos y hortalizas  y otros,1170,5850,89.518,55.552,suficiente
Honduras,112 Urbano discontinuo,39,39,89.598,81.802,suficiente
El Salvador,323 Frutales,6450,6450,89.743,70.0,suficiente
Guatemala,325 Otros sistemas agroforestales o silvopastoriles,149,149,90.142,83.437,suficiente
El Salvador,111 Urbano continuo,10953,10953,90.271,70.0,suficiente
El Salvador,420 Bosque de coníferas,6014,6014,90.312,70.0,suficiente
México,332 Pastizales naturales y cultivados,156,156,90.445,76.085,suficiente
El Salvador,410 Bosque latifoliado y mixto,162889,162969,90.945,40.0,suficiente
El Salvador,313 Caña de azúcar,32367,32367,91.098,70.0,suficiente
El Salvador,325 Otros sistemas agroforestales o silvopastoriles,22567,22567,91.193,70.0,suficiente
El Salvador,442 Plantaciones forestales,2249,2249,91.334,70.0,suficiente
El Salvador,210 Cuerpos de Agua,1807,1809,91.374,40.0,suficiente
Honduras,414 Bosque seco o deciduo,1666,8335,91.423,40.0,suficiente
Honduras,413 Bosque Mixto (Lat-Coniferas),868,4340,92.111,57.088,suficiente
Panamá,430 Manglares,109,109,92.14,70.0,suficiente
México,414 Bosque seco o deciduo,112,112,92.189,70.0,suficiente
El Salvador,412 Latifoliado secundario húmedo,117,117,92.243,70.0,suficiente
Costa Rica,442 Plantaciones forestales,897,911,92.267,70.0,suficiente
Costa Rica,220 Humedales,3479,3654,92.444,40.0,suficiente
Costa Rica,311 Palma aceitera,11850,11861,92.473,40.0,suficiente
Guatemala,413 Bosque Mixto (Lat-Coniferas),4,4,92.546,88.043,suficiente
México,412 Latifoliado secundario húmedo,79,79,92.732,81.135,suficiente
Costa Rica,331 Granos básicos y hortalizas  y otros,7797,8475,92.905,52.898,suficiente
Panamá,311 Palma aceitera,3488,3488,92.942,70.0,suficiente
México,413 Bosque Mixto (Lat-Coniferas),79,79,93.179,82.343,suficiente
El Salvador,414 Bosque seco o deciduo,14,14,93.344,88.22,suficiente
Costa Rica,332 Pastizales naturales y cultivados,21378,23329,93.476,40.0,suficiente
El Salvador,321 Café,50137,50137,93.574,70.0,suficiente
México,410 Bosque latifoliado y mixto,1175,1184,93.893,60.0,suficiente
Honduras,430 Manglares,1209,1602,93.893,40.0,suficiente
Panamá,333 Matorrales (barbecho o en descanso),305,305,94.038,60.0,suficiente
Guatemala,311 Palma aceitera,29397,29423,94.047,40.0,suficiente
Costa Rica,410 Bosque latifoliado y mixto,53262,59314,94.054,40.0,suficiente
Panamá,411 Latifoliado maduro húmedo,1764,1764,94.292,60.0,suficiente
Costa Rica,314 Piña,10375,10375,94.309,70.0,suficiente
El Salvador,430 Manglares,9875,9875,94.341,70.0,suficiente
Panamá,312 Bananeras,2042,2042,94.522,70.0,suficiente
Panamá,331 Granos básicos y hortalizas  y otros,96,96,94.671,91.003,suficiente
Panamá,313 Caña de azúcar,5622,5622,94.705,70.0,suficiente
Panamá,332 Pastizales naturales y cultivados,1163,1163,94.767,70.0,suficiente
El Salvador,411 Latifoliado maduro húmedo,15,15,94.79,84.601,suficiente
Panamá,315 Otros cultivos intensivos no arbóreos,12945,12945,94.892,70.0,suficiente
Panamá,412 Latifoliado secundario húmedo,951,951,95.309,70.0,suficiente
Panamá,314 Piña,414,414,95.33,70.0,suficiente
Panamá,410 Bosque latifoliado y mixto,8,8,96.198,95.405,suficiente
Guatemala,315 Otros cultivos intensivos no arbóreos,2384,2429,96.368,40.0,suficiente
Guatemala,312 Bananeras,12263,12273,96.493,40.0,suficiente
Guatemala,314 Piña,2070,2070,96.627,70.0,suficiente
Guatemala,313 Caña de azúcar,52194,52195,96.642,40.0,suficiente
Guatemala,322 Cacao,558,558,96.756,70.0,suficiente
Guatemala,324 Hule,22488,22488,96.99,70.0,suficiente
Guatemala,321 Café,86075,86113,97.205,40.0,suficiente
