subset,xy_group_id,lon,lat,pais_grupo,tipo_grupo_original,n_registros_original,n_registros_subset,estado_xy_subset,source_rowid,pais,fuente,anio,nivel_0,nivel_1,nivel_2
ventana_2018_2022,XY_000001093794,-84.3734728086,9.5071897313,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,103066,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",331 Granos básicos y hortalizas  y otros
ventana_2018_2022,XY_000001096771,-84.35702519129998,10.974083,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,517733,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,40 Tierras Forestales,41 Bosque latifoliado y mixto,410 Bosque latifoliado y mixto
ventana_2018_2022,XY_000001096771,-84.35702519129998,10.974083,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,517743,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",332 Pastizales naturales y cultivados
ventana_2018_2022,XY_000001096824,-84.356594,10.974083,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,517734,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,40 Tierras Forestales,41 Bosque latifoliado y mixto,410 Bosque latifoliado y mixto
ventana_2018_2022,XY_000001096824,-84.356594,10.974083,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,517748,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",332 Pastizales naturales y cultivados
ventana_2018_2022,XY_000001096895,-84.356311,10.735115,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,502825,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,40 Tierras Forestales,41 Bosque latifoliado y mixto,410 Bosque latifoliado y mixto
ventana_2018_2022,XY_000001096895,-84.356311,10.735115,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,503275,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",332 Pastizales naturales y cultivados
ventana_2018_2022,XY_000001096896,-84.356311,10.7355386446,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,502826,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,40 Tierras Forestales,41 Bosque latifoliado y mixto,410 Bosque latifoliado y mixto
ventana_2018_2022,XY_000001096896,-84.356311,10.7355386446,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,503276,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",332 Pastizales naturales y cultivados
ventana_2018_2022,XY_000001096944,-84.3561628086,10.974083,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,517735,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,40 Tierras Forestales,41 Bosque latifoliado y mixto,410 Bosque latifoliado y mixto
