subset,pais_grupo,valores_nivel1_subset,valores_nivel2_subset,n_grupos,n_registros,promedio_anios,anio_min_global,anio_max_global
ventana_2018_2022,Honduras,"33 Cultivos extensivos, Pastizales y matorrales","332 Pastizales naturales y cultivados,331 Granos básicos y hortalizas  y otros",6,30,5.0,2018,2022
ventana_2018_2022,Honduras,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","333 Matorrales (barbecho o en descanso),321 Café",6,30,5.0,2018,2022
ventana_2018_2022,Honduras,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","413 Bosque Mixto (Lat-Coniferas),332 Pastizales naturales y cultivados",6,30,5.0,2018,2022
ventana_2018_2022,Honduras,"33 Cultivos extensivos, Pastizales y matorrales","331 Granos básicos y hortalizas  y otros,333 Matorrales (barbecho o en descanso)",5,25,5.0,2018,2022
ventana_2018_2022,Honduras,"42 Bosque de coníferas,32 Cultivos Arbóreos","420 Bosque de coníferas,321 Café",5,25,5.0,2018,2022
ventana_2018_2022,Honduras,"42 Bosque de coníferas,33 Cultivos extensivos, Pastizales y matorrales","420 Bosque de coníferas,331 Granos básicos y hortalizas  y otros",5,25,5.0,2018,2022
ventana_2018_2022,Honduras,"33 Cultivos extensivos, Pastizales y matorrales,11 Urbano","332 Pastizales naturales y cultivados,110 Urbano",4,20,5.0,2018,2022
ventana_2018_2022,Honduras,"33 Cultivos extensivos, Pastizales y matorrales,21 Cuerpos de Agua","331 Granos básicos y hortalizas  y otros,210 Cuerpos de Agua",4,20,5.0,2018,2022
ventana_2018_2022,Honduras,"33 Cultivos extensivos, Pastizales y matorrales,21 Cuerpos de Agua","332 Pastizales naturales y cultivados,210 Cuerpos de Agua",4,20,5.0,2018,2022
ventana_2018_2022,Honduras,"33 Cultivos extensivos, Pastizales y matorrales,21 Cuerpos de Agua","333 Matorrales (barbecho o en descanso),210 Cuerpos de Agua",4,20,5.0,2018,2022
ventana_2018_2022,Honduras,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","332 Pastizales naturales y cultivados,321 Café",4,20,5.0,2018,2022
ventana_2018_2022,Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales,22 Humedales","331 Granos básicos y hortalizas  y otros,220 Humedales",9,18,1.0,2021,2021
ventana_2018_2022,Honduras,"33 Cultivos extensivos, Pastizales y matorrales","331 Granos básicos y hortalizas  y otros,332 Pastizales naturales y cultivados",3,15,5.0,2018,2022
ventana_2018_2022,Honduras,"33 Cultivos extensivos, Pastizales y matorrales,31 Cultivos intensivos No-Arbóreos","333 Matorrales (barbecho o en descanso),311 Palma aceitera",3,15,5.0,2018,2022
ventana_2018_2022,Honduras,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","331 Granos básicos y hortalizas  y otros,321 Café",3,15,5.0,2018,2022
ventana_2018_2022,Honduras,"33 Cultivos extensivos, Pastizales y matorrales,41 Bosque latifoliado y mixto","333 Matorrales (barbecho o en descanso),413 Bosque Mixto (Lat-Coniferas)",3,15,5.0,2018,2022
ventana_2018_2022,Honduras,"41 Bosque latifoliado y mixto,32 Cultivos Arbóreos","414 Bosque seco o deciduo,321 Café",3,15,5.0,2018,2022
ventana_2018_2022,Honduras,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","413 Bosque Mixto (Lat-Coniferas),333 Matorrales (barbecho o en descanso)",3,15,5.0,2018,2022
ventana_2018_2022,Honduras,"42 Bosque de coníferas,11 Urbano","420 Bosque de coníferas,110 Urbano",3,15,5.0,2018,2022
ventana_2018_2022,Honduras,"31 Cultivos intensivos No-Arbóreos,33 Cultivos extensivos, Pastizales y matorrales","311 Palma aceitera,332 Pastizales naturales y cultivados",2,10,5.0,2018,2022
ventana_2018_2022,Honduras,32 Cultivos Arbóreos,"325 Otros sistemas agroforestales o silvopastoriles,321 Café",2,10,5.0,2018,2022
ventana_2018_2022,Honduras,"32 Cultivos Arbóreos,33 Cultivos extensivos, Pastizales y matorrales","321 Café,331 Granos básicos y hortalizas  y otros",2,10,5.0,2018,2022
ventana_2018_2022,Honduras,"32 Cultivos Arbóreos,33 Cultivos extensivos, Pastizales y matorrales","321 Café,333 Matorrales (barbecho o en descanso)",2,10,5.0,2018,2022
ventana_2018_2022,Honduras,"32 Cultivos Arbóreos,33 Cultivos extensivos, Pastizales y matorrales","325 Otros sistemas agroforestales o silvopastoriles,332 Pastizales naturales y cultivados",2,10,5.0,2018,2022
ventana_2018_2022,Honduras,"33 Cultivos extensivos, Pastizales y matorrales,11 Urbano","333 Matorrales (barbecho o en descanso),110 Urbano",2,10,5.0,2018,2022
ventana_2018_2022,Honduras,"33 Cultivos extensivos, Pastizales y matorrales,31 Cultivos intensivos No-Arbóreos","332 Pastizales naturales y cultivados,311 Palma aceitera",2,10,5.0,2018,2022
ventana_2018_2022,Honduras,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","332 Pastizales naturales y cultivados,323 Frutales",2,10,5.0,2018,2022
ventana_2018_2022,Honduras,"41 Bosque latifoliado y mixto,11 Urbano","414 Bosque seco o deciduo,110 Urbano",2,10,5.0,2018,2022
