pais,clase,n_xy,n_registros,n_xy_regional,n_xy_pais_total,pct_clase_en_pais,estado_count,lectura_count,prioridad_count
Panamá,12 Otras tierras,14,14,5047,29187,0.048,baja cantidad de puntos critica,baja cantidad de puntos,186
México,43 Manglares,16,16,11920,2149,0.745,baja cantidad de puntos critica,baja cantidad de puntos,184
Panamá,22 Humedales,16,16,5162,29187,0.055,baja cantidad de puntos critica,baja cantidad de puntos,184
Guatemala,44 Otros arbóreo en tierras no agrícola,22,22,7170,209829,0.01,baja cantidad de puntos critica,baja cantidad de puntos,178
Honduras,44 Otros arbóreo en tierras no agrícola,24,24,7170,132683,0.018,baja cantidad de puntos critica,baja cantidad de puntos,176
México,22 Humedales,36,36,5162,2149,1.675,baja cantidad de puntos critica,baja cantidad de puntos,164
México,42 Bosque de coníferas,44,44,13442,2149,2.047,baja cantidad de puntos critica,baja cantidad de puntos,156
Guatemala,21 Cuerpos de Agua,52,60,2491,209829,0.025,baja cantidad de puntos,baja cantidad de puntos,148
Panamá,44 Otros arbóreo en tierras no agrícola,63,63,7170,29187,0.216,baja cantidad de puntos,baja cantidad de puntos,137
Belice,12 Otras tierras,72,72,5047,33319,0.216,baja cantidad de puntos,baja cantidad de puntos,128
Panamá,21 Cuerpos de Agua,78,78,2491,29187,0.267,baja cantidad de puntos,baja cantidad de puntos,122
Guatemala,43 Manglares,84,84,11920,209829,0.04,baja cantidad de puntos,baja cantidad de puntos,116
Guatemala,22 Humedales,84,84,5162,209829,0.04,baja cantidad de puntos,baja cantidad de puntos,116
Panamá,11 Urbano,93,93,29318,29187,0.319,baja cantidad de puntos,baja cantidad de puntos,107
Panamá,43 Manglares,109,109,11920,29187,0.373,baja cantidad de puntos,baja cantidad de puntos,91
México,31 Cultivos intensivos No-Arbóreos,114,114,329183,2149,5.305,baja cantidad de puntos,baja cantidad de puntos,86
Guatemala,11 Urbano,125,125,29318,209829,0.06,baja cantidad de puntos,baja cantidad de puntos,75
Honduras,12 Otras tierras,154,186,5047,132683,0.116,baja cantidad de puntos,baja cantidad de puntos,46
Guatemala,12 Otras tierras,164,168,5047,209829,0.078,baja cantidad de puntos,baja cantidad de puntos,36
Belice,21 Cuerpos de Agua,235,235,2491,33319,0.705,suficiente,suficiente,-35
Belice,11 Urbano,245,245,29318,33319,0.735,suficiente,suficiente,-45
Honduras,21 Cuerpos de Agua,283,947,2491,132683,0.213,suficiente,suficiente,-83
Honduras,11 Urbano,310,1394,29318,132683,0.234,suficiente,suficiente,-110
Costa Rica,11 Urbano,438,438,29318,133066,0.329,suficiente,suficiente,-238
Honduras,22 Humedales,474,2370,5162,132683,0.357,suficiente,suficiente,-274
México,"33 Cultivos extensivos, Pastizales y matorrales",481,483,189602,2149,22.383,suficiente,suficiente,-281
Guatemala,41 Bosque latifoliado y mixto,526,658,242053,209829,0.251,suficiente,suficiente,-326
Belice,43 Manglares,627,628,11920,33319,1.882,suficiente,suficiente,-427
Belice,44 Otros arbóreo en tierras no agrícola,659,659,7170,33319,1.978,suficiente,suficiente,-459
Belice,22 Humedales,1072,1072,5162,33319,3.217,suficiente,suficiente,-872
Guatemala,"33 Cultivos extensivos, Pastizales y matorrales",1177,1260,189602,209829,0.561,suficiente,suficiente,-977
Honduras,43 Manglares,1209,1602,11920,132683,0.911,suficiente,suficiente,-1009
México,41 Bosque latifoliado y mixto,1445,1454,242053,2149,67.241,suficiente,suficiente,-1245
Panamá,"33 Cultivos extensivos, Pastizales y matorrales",1564,1564,189602,29187,5.359,suficiente,suficiente,-1364
Belice,42 Bosque de coníferas,1661,1661,13442,33319,4.985,suficiente,suficiente,-1461
El Salvador,21 Cuerpos de Agua,1835,1837,2491,571610,0.321,suficiente,suficiente,-1635
Costa Rica,44 Otros arbóreo en tierras no agrícola,2179,2193,7170,133066,1.638,suficiente,suficiente,-1979
Panamá,41 Bosque latifoliado y mixto,2723,2723,242053,29187,9.329,suficiente,suficiente,-2523
Costa Rica,22 Humedales,3479,3654,5162,133066,2.614,suficiente,suficiente,-3279
Belice,"33 Cultivos extensivos, Pastizales y matorrales",4116,4118,189602,33319,12.353,suficiente,suficiente,-3916
El Salvador,44 Otros arbóreo en tierras no agrícola,4215,4215,7170,571610,0.737,suficiente,suficiente,-4015
El Salvador,12 Otras tierras,4634,4634,5047,571610,0.811,suficiente,suficiente,-4434
Costa Rica,91 Otras,5175,5479,5182,133066,3.889,suficiente,suficiente,-4975
Honduras,42 Bosque de coníferas,5718,17708,13442,132683,4.31,suficiente,suficiente,-5518
El Salvador,42 Bosque de coníferas,6014,6014,13442,571610,1.052,suficiente,suficiente,-5814
Honduras,"33 Cultivos extensivos, Pastizales y matorrales",7461,32566,189602,132683,5.623,suficiente,suficiente,-7261
Honduras,41 Bosque latifoliado y mixto,8131,36217,242053,132683,6.128,suficiente,suficiente,-7931
El Salvador,43 Manglares,9875,9875,11920,571610,1.728,suficiente,suficiente,-9675
Belice,41 Bosque latifoliado y mixto,11527,11531,242053,33319,34.596,suficiente,suficiente,-11327
Belice,31 Cultivos intensivos No-Arbóreos,13105,13111,329183,33319,39.332,suficiente,suficiente,-12905
Costa Rica,32 Cultivos Arbóreos,15715,15723,271280,133066,11.81,suficiente,suficiente,-15515
Costa Rica,31 Cultivos intensivos No-Arbóreos,22225,22236,329183,133066,16.702,suficiente,suficiente,-22025
Panamá,31 Cultivos intensivos No-Arbóreos,24511,24511,329183,29187,83.979,suficiente,suficiente,-24311
El Salvador,11 Urbano,28102,28102,29318,571610,4.916,suficiente,suficiente,-27902
Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales",29175,31804,189602,133066,21.925,suficiente,suficiente,-28975
Honduras,31 Cultivos intensivos No-Arbóreos,41805,43455,329183,132683,31.507,suficiente,suficiente,-41605
Costa Rica,41 Bosque latifoliado y mixto,54666,60718,242053,133066,41.082,suficiente,suficiente,-54466
Honduras,32 Cultivos Arbóreos,67114,70609,271280,132683,50.582,suficiente,suficiente,-66914
El Salvador,32 Cultivos Arbóreos,79154,79154,271280,571610,13.848,suficiente,suficiente,-78954
Guatemala,31 Cultivos intensivos No-Arbóreos,98308,98390,329183,209829,46.851,suficiente,suficiente,-98108
Guatemala,32 Cultivos Arbóreos,109282,109323,271280,209829,52.081,suficiente,suficiente,-109082
El Salvador,31 Cultivos intensivos No-Arbóreos,129115,129115,329183,571610,22.588,suficiente,suficiente,-128915
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales",145626,145626,189602,571610,25.476,suficiente,suficiente,-145426
El Salvador,41 Bosque latifoliado y mixto,163035,163115,242053,571610,28.522,suficiente,suficiente,-162835
