tipo_duplicado,lon,lat,n
exacto,-89.166066,16.256195,19
exacto,-89.16596699999998,16.247162,19
exacto,-89.165868,16.238128,19
exacto,-89.16576899999998,16.229094,19
exacto,-89.16567,16.22006,19
exacto,-89.16557199999998,16.211027,19
exacto,-89.165473,16.201993,19
exacto,-89.165374,16.192959,19
exacto,-89.165276,16.183925,19
exacto,-89.165177,16.174892,19
exacto,-89.165079,16.165858,19
exacto,-89.16498,16.156824,19
exacto,-89.164882,16.14779,19
exacto,-89.16478399999998,16.138757,19
exacto,-89.164686,16.129723,19
exacto,-89.16458799999998,16.120689,19
exacto,-89.16449,16.111655,19
exacto,-89.164392,16.102621,19
exacto,-89.164294,16.093587,19
exacto,-89.164196,16.084554,19
exacto,-89.16409799999998,16.07552,19
exacto,-89.164,16.066486,19
exacto,-89.163903,16.057452,19
exacto,-89.16380499999998,16.048418,19
exacto,-89.163707,16.039384,19
exacto,-89.16361,16.03035,19
exacto,-89.16351299999998,16.021316,19
exacto,-89.163415,16.012282,19
exacto,-89.163357,16.8525,19
exacto,-89.163318,16.003249,19
exacto,-89.163255,16.843467,19
exacto,-89.16322099999998,15.994215,19
exacto,-89.16315199999998,16.834434,19
exacto,-89.163123,15.985181,19
exacto,-89.163049,16.825401,19
exacto,-89.163026,15.976147,19
exacto,-89.162947,16.816368,19
exacto,-89.162929,15.967113,19
exacto,-89.162844,16.807334,19
exacto,-89.16283199999998,15.958079,19
exacto,-89.16274199999998,16.798301,19
exacto,-89.162735,15.949045,19
exacto,-89.16263999999998,16.789268,19
exacto,-89.162639,15.940011,19
exacto,-89.162542,15.930977,19
exacto,-89.162537,16.780234,19
exacto,-89.162445,15.921943,19
exacto,-89.162435,16.771201,19
exacto,-89.16234799999998,15.912909,19
exacto,-89.162333,16.762168,19
exacto,-89.16225199999998,15.903875,19
exacto,-89.162231,16.753135,19
exacto,-89.16212899999998,16.744101,19
exacto,-89.16202699999998,16.735068,19
exacto,-89.16192499999998,16.726035,19
exacto,-89.161823,16.717001,19
exacto,-89.16172199999998,16.707968,19
exacto,-89.16162,16.698935,19
exacto,-89.161518,16.689901,19
exacto,-89.161417,16.680868,19
exacto,-89.161315,16.671835,19
exacto,-89.161214,16.662801,19
exacto,-89.161112,16.653768,19
exacto,-89.161011,16.644735,19
exacto,-89.16091,16.635701,19
exacto,-89.160809,16.626668,19
exacto,-89.160708,16.617634,19
exacto,-89.160607,16.608601,19
exacto,-89.160506,16.599567,19
exacto,-89.16040499999998,16.590534,19
exacto,-89.16030399999998,16.581501,19
exacto,-89.16020299999998,16.572467,19
exacto,-89.16010199999998,16.563434,19
exacto,-89.16000099999998,16.5544,19
exacto,-89.159901,16.545367,19
exacto,-89.1598,16.536333,19
exacto,-89.1597,16.5273,19
exacto,-89.159599,16.518266,19
exacto,-89.15949899999998,16.509233,19
exacto,-89.15939899999998,16.500199,19
exacto,-89.159298,16.491166,19
exacto,-89.159198,16.482132,19
exacto,-89.159098,16.473098,19
exacto,-89.15899799999998,16.464065,19
exacto,-89.15889799999998,16.455031,19
exacto,-89.158798,16.445998,19
exacto,-89.158698,16.436964,19
exacto,-89.158598,16.427931,19
exacto,-89.158499,16.418897,19
exacto,-89.158399,16.409863,19
exacto,-89.158299,16.40083,19
exacto,-89.15819999999998,16.391796,19
exacto,-89.1581,16.382763,19
exacto,-89.158001,16.373729,19
exacto,-89.157902,16.364695,19
exacto,-89.157802,16.355662,19
exacto,-89.157703,16.346628,19
exacto,-89.157604,16.337594,19
exacto,-89.157505,16.328561,19
exacto,-89.15740599999998,16.319527,19
exacto,-89.157307,16.310493,19
exacto,-89.15720799999998,16.301459,19
exacto,-89.157109,16.292426,19
exacto,-89.15701,16.283392,19
exacto,-89.15691099999998,16.274358,19
exacto,-89.156813,16.265325,19
exacto,-89.15671399999998,16.256291,19
exacto,-89.156615,16.247257,19
exacto,-89.15651699999998,16.238223,19
exacto,-89.156419,16.229189,19
exacto,-89.15631999999998,16.220156,19
exacto,-89.156222,16.211122,19
exacto,-89.156124,16.202088,19
exacto,-89.156025,16.193054,19
exacto,-89.155927,16.18402,19
exacto,-89.15582899999998,16.174987,19
exacto,-89.155731,16.165953,19
exacto,-89.15563299999998,16.156919,19
exacto,-89.155535,16.147885,19
exacto,-89.155438,16.138851,19
exacto,-89.15533999999998,16.129817,19
exacto,-89.15531199999998,16.970031,19
exacto,-89.155242,16.120784,19
exacto,-89.155209,16.960998,19
exacto,-89.155145,16.11175,19
exacto,-89.155106,16.951964,19
exacto,-89.15504699999998,16.102716,19
exacto,-89.15500299999998,16.942931,19
exacto,-89.154949,16.093682,19
exacto,-89.1549,16.933898,19
exacto,-89.154852,16.084648,19
exacto,-89.154797,16.924865,19
exacto,-89.15475499999998,16.075614,19
exacto,-89.154694,16.915832,19
exacto,-89.154657,16.06658,19
exacto,-89.15459199999998,16.906798,19
exacto,-89.15456,16.057546,19
exacto,-89.154489,16.897765,19
exacto,-89.154463,16.048512,19
exacto,-89.154386,16.888732,19
exacto,-89.15436599999998,16.039478,19
exacto,-89.154284,16.879699,19
exacto,-89.154269,16.030444,19
exacto,-89.15418099999998,16.870666,19
exacto,-89.154172,16.02141,19
exacto,-89.15407899999998,16.861632,19
exacto,-89.154075,16.012376,19
exacto,-89.15397799999998,16.003342,19
exacto,-89.153977,16.852599,19
exacto,-89.153881,15.994308,19
exacto,-89.153874,16.843566,19
exacto,-89.153784,15.985274,19
exacto,-89.153772,16.834533,19
exacto,-89.153688,15.97624,19
exacto,-89.15367,16.825499,19
exacto,-89.153591,15.967206,19
exacto,-89.153568,16.816466,19
exacto,-89.15349399999998,15.958172,19
exacto,-89.15346599999998,16.807433,19
exacto,-89.15339799999998,15.949138,19
exacto,-89.15336399999998,16.798399,19
exacto,-89.153301,15.940104,19
exacto,-89.153262,16.789366,19
exacto,-89.153205,15.93107,19
exacto,-89.15316,16.780333,19
exacto,-89.153109,15.922036,19
