pais,fuente,n_registros,anio_min,anio_max,n_anios_distintos,n_nivel1_distintos,n_nivel2_distintos
Panamá,MIAMBIENTE - Cultivos Mapa Panamá,24469,2021,2021,1,1,5
Panamá,"Muestras de Entrenamiento de Jimenez, 2020 - Panamá",10425,2017,2017,1,6,9
Panamá,MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,4716,2021,2021,1,10,21
Panamá,ACP-CCAD/GIZ - Inventario Forestal Complemento Piloto Panamá,73,2016,2016,1,3,3
Panamá,ACP-CCAD/GIZ - Inventario de Bosque Natural Piloto Panamá,49,2015,2015,1,1,3
Panamá,ACP-CCAD/GIZ - Inventario Forestal Piloto Panamá,37,2014,2014,1,3,3
Panamá,MIAMBIENTE/ONUREDD - Inventario Forestal Panamá,36,2015,2015,1,6,9
Panamá,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",22,2021,2021,1,3,3
Panamá,ACP-CCAD/GIZ - Inventario de Matorrales Piloto Panamá,10,2016,2016,1,1,1
Panamá,ICAFE - Poligono de zonasdel cultivo de café de Costa Rica,4,2018,2018,1,1,1
Panamá,CENAT/PRIAS - Cultivos - Costa Rica,4,2019,2019,1,1,1
Panamá,"Muestras de Entrenamiento de Jimenez, 2020 - Costa Rica",2,2017,2017,1,1,1
