field_name,valor,n
GBM_Nivel2,Moskitia,113054
GBM_Nivel2,Indio Maíz - Tortuguero,73808
GBM_Nivel2,La Amistad,56715
GBM_Nivel2,Chagres - Narganá,4754
GBM_Nivel2,Montes Azules,3613
GBM_Nivel2,Darién,2299
GBM_Nivel2,Santa Fé - Torrijos,1760
GBM_Nivel2,Yucatán,1674
WorldCov21,10,1872046
WorldCov21,30,656781
WorldCov21,40,155717
WorldCov21,50,57858
WorldCov21,20,47441
WorldCov21,95,40568
WorldCov21,90,35336
WorldCov21,80,10754
WorldCov21,60,4622
Pais_cod3,SLV,1215773
Pais_cod3,CRI,478141
Pais_cod3,HND,468040
Pais_cod3,BLZ,426926
Pais_cod3,GTM,240339
Pais_cod3,PAN,39847
Pais_cod3,MEX,10085
Pais_cod3,NIC,1972
Pais_es,El Salvador,1215773
Pais_es,Costa Rica,478141
Pais_es,Honduras,468040
Pais_es,Belice,426926
Pais_es,Guatemala,240339
Pais_es,Panamá,39847
Pais_es,México,10085
Pais_es,Nicaragua,1972
GBM_Nivel1,,2131439
GBM_Nivel1,Selva Maya,357985
GBM_Nivel1,Trifinio,139309
GBM_Nivel1,Moskitia,113054
GBM_Nivel1,Indio Maíz - Tortuguero,73808
GBM_Nivel1,La Amistad,58475
GBM_Nivel1,Darién,7053
id_0,30,1541708
id_0,40,1118313
id_0,10,99621
id_0,90,73010
id_0,20,48471
Nivel_0,30 Tierras de Cultivo y Pastos,1541708
Nivel_0,40 Tierras Forestales,1118313
Nivel_0,10 Artificializado y otra tierras,99621
Nivel_0,90 Otras,73010
Nivel_0,20 Tierras húmedas y agua,48471
Tipo,Interpretación Visual,2413995
Tipo,Extracción de mapa nacional,455236
Tipo,Inventario Forestal,11530
Tipo,Verificación de Campo,362
Adm2tipo,Municipio,1936209
Adm2tipo,Cantón,478141
Adm2tipo,District,426926
Adm2tipo,Distrito,39847
Adm1tipo,Departamento,1926124
Adm1tipo,Provincia,517988
Adm1tipo,District,426926
Adm1tipo,Estado,10085
Detalle_Tipo,Uso interno CCAD/GIZ,1994196
Detalle_Tipo,Dominio Público,886927
Forest20,1,1781125
Forest20,0,1099998
