pais,clase,n_xy,n_registros,score_medio,score_min,estado_score
Honduras,42 Bosque de coníferas,5718,17708,86.187,54.9,suficiente
Panamá,44 Otros arbóreo en tierras no agrícola,63,63,86.376,78.65,suficiente
Honduras,41 Bosque latifoliado y mixto,8131,36217,86.391,53.4,suficiente
Guatemala,41 Bosque latifoliado y mixto,526,658,86.582,73.45,suficiente
El Salvador,31 Cultivos intensivos No-Arbóreos,129046,129251,86.651,70.0,suficiente
México,31 Cultivos intensivos No-Arbóreos,114,114,86.775,70.0,suficiente
Panamá,21 Cuerpos de Agua,78,78,86.9,86.9,suficiente
El Salvador,11 Urbano,28059,28103,87.122,70.0,suficiente
Honduras,21 Cuerpos de Agua,283,947,87.248,55.65,suficiente
México,"33 Cultivos extensivos, Pastizales y matorrales",481,483,87.351,70.0,suficiente
El Salvador,44 Otros arbóreo en tierras no agrícola,4195,4203,87.685,70.0,suficiente
Guatemala,"33 Cultivos extensivos, Pastizales y matorrales",1174,1259,88.054,69.7,suficiente
El Salvador,41 Bosque latifoliado y mixto,162972,163161,88.19,70.0,suficiente
El Salvador,21 Cuerpos de Agua,1832,1834,88.848,70.0,suficiente
El Salvador,42 Bosque de coníferas,6014,6014,89.536,70.0,suficiente
México,41 Bosque latifoliado y mixto,1445,1454,90.053,60.0,suficiente
El Salvador,32 Cultivos Arbóreos,78959,79109,90.053,70.0,suficiente
Panamá,43 Manglares,109,109,90.306,70.0,suficiente
Costa Rica,41 Bosque latifoliado y mixto,54666,60718,90.66,49.3,suficiente
Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales",29175,31804,91.254,49.3,suficiente
Costa Rica,22 Humedales,3479,3654,91.457,52.3,suficiente
Honduras,43 Manglares,1209,1602,91.677,60.0,suficiente
El Salvador,43 Manglares,9871,9875,91.956,70.0,suficiente
Panamá,41 Bosque latifoliado y mixto,2723,2723,92.226,60.0,suficiente
Costa Rica,31 Cultivos intensivos No-Arbóreos,22225,22236,92.737,70.0,suficiente
Panamá,31 Cultivos intensivos No-Arbóreos,24511,24511,92.923,70.0,suficiente
Panamá,"33 Cultivos extensivos, Pastizales y matorrales",1564,1564,93.026,60.0,suficiente
Guatemala,31 Cultivos intensivos No-Arbóreos,98307,98390,94.618,68.95,suficiente
Guatemala,32 Cultivos Arbóreos,109282,109323,94.778,66.7,suficiente
