subset,nivel,pais,clase,n_registros,pct_pais_subset
ventana_2018_2022,Nivel_2,Costa Rica,412 Latifoliado secundario húmedo,856,0.601939
ventana_2018_2022,Nivel_2,Costa Rica,411 Latifoliado maduro húmedo,548,0.385354
ventana_2018_2022,Nivel_2,Costa Rica,110 Urbano,438,0.308002
ventana_2018_2022,Nivel_2,Costa Rica,323 Frutales,15,0.010548
ventana_2018_2022,Nivel_2,Costa Rica,"122 Suelo desnudo, arena, rocoso, lava, otros",9,0.006329
ventana_2018_2022,Nivel_2,Costa Rica,210 Cuerpos de Agua,5,0.003516
ventana_2018_2022,Nivel_2,El Salvador,410 Bosque latifoliado y mixto,163070,28.501765
ventana_2018_2022,Nivel_2,El Salvador,315 Otros cultivos intensivos no arbóreos,96842,16.926277
ventana_2018_2022,Nivel_2,El Salvador,332 Pastizales naturales y cultivados,83629,14.616877
ventana_2018_2022,Nivel_2,El Salvador,321 Café,50139,8.763415
ventana_2018_2022,Nivel_2,El Salvador,333 Matorrales (barbecho o en descanso),49331,8.62219
ventana_2018_2022,Nivel_2,El Salvador,313 Caña de azúcar,32367,5.657182
ventana_2018_2022,Nivel_2,El Salvador,325 Otros sistemas agroforestales o silvopastoriles,22567,3.944314
ventana_2018_2022,Nivel_2,El Salvador,112 Urbano discontinuo,17149,2.997343
ventana_2018_2022,Nivel_2,El Salvador,331 Granos básicos y hortalizas  y otros,12834,2.243157
ventana_2018_2022,Nivel_2,El Salvador,111 Urbano continuo,10953,1.914392
ventana_2018_2022,Nivel_2,El Salvador,430 Manglares,9875,1.725976
ventana_2018_2022,Nivel_2,El Salvador,323 Frutales,6453,1.127871
ventana_2018_2022,Nivel_2,El Salvador,420 Bosque de coníferas,6060,1.059181
ventana_2018_2022,Nivel_2,El Salvador,121 Otros artificializado,2780,0.485895
ventana_2018_2022,Nivel_2,El Salvador,442 Plantaciones forestales,2249,0.393086
ventana_2018_2022,Nivel_2,El Salvador,"122 Suelo desnudo, arena, rocoso, lava, otros",1858,0.324746
ventana_2018_2022,Nivel_2,El Salvador,210 Cuerpos de Agua,1829,0.319677
ventana_2018_2022,Nivel_2,El Salvador,443  Árboles fuera de bosque y otras áreas naturales,1628,0.284546
ventana_2018_2022,Nivel_2,El Salvador,441 Masa arbórea ribereña,338,0.059076
ventana_2018_2022,Nivel_2,El Salvador,412 Latifoliado secundario húmedo,117,0.02045
ventana_2018_2022,Nivel_2,El Salvador,212 Cuerpos de agua artificial,28,0.004894
ventana_2018_2022,Nivel_2,El Salvador,414 Bosque seco o deciduo,19,0.003321
ventana_2018_2022,Nivel_2,El Salvador,411 Latifoliado maduro húmedo,15,0.002622
ventana_2018_2022,Nivel_2,El Salvador,910 Otras,5,0.000874
ventana_2018_2022,Nivel_2,El Salvador,312 Bananeras,5,0.000874
ventana_2018_2022,Nivel_2,Guatemala,321 Café,86075,41.0002
ventana_2018_2022,Nivel_2,Guatemala,313 Caña de azúcar,52194,24.861626
ventana_2018_2022,Nivel_2,Guatemala,311 Palma aceitera,29409,14.008422
ventana_2018_2022,Nivel_2,Guatemala,324 Hule,22488,10.711734
ventana_2018_2022,Nivel_2,Guatemala,312 Bananeras,12263,5.841248
ventana_2018_2022,Nivel_2,Guatemala,315 Otros cultivos intensivos no arbóreos,2399,1.142718
ventana_2018_2022,Nivel_2,Guatemala,314 Piña,2070,0.986005
ventana_2018_2022,Nivel_2,Guatemala,332 Pastizales naturales y cultivados,709,0.337719
ventana_2018_2022,Nivel_2,Guatemala,410 Bosque latifoliado y mixto,601,0.286275
ventana_2018_2022,Nivel_2,Guatemala,322 Cacao,558,0.265793
ventana_2018_2022,Nivel_2,Guatemala,333 Matorrales (barbecho o en descanso),357,0.17005
ventana_2018_2022,Nivel_2,Guatemala,"122 Suelo desnudo, arena, rocoso, lava, otros",164,0.078118
ventana_2018_2022,Nivel_2,Guatemala,325 Otros sistemas agroforestales o silvopastoriles,149,0.070973
ventana_2018_2022,Nivel_2,Guatemala,331 Granos básicos y hortalizas  y otros,112,0.053349
ventana_2018_2022,Nivel_2,Guatemala,430 Manglares,84,0.040012
ventana_2018_2022,Nivel_2,Guatemala,220 Humedales,84,0.040012
ventana_2018_2022,Nivel_2,Guatemala,112 Urbano discontinuo,83,0.039535
ventana_2018_2022,Nivel_2,Guatemala,111 Urbano continuo,42,0.020006
ventana_2018_2022,Nivel_2,Guatemala,211 Cuerpos de agua natural,37,0.017624
ventana_2018_2022,Nivel_2,Guatemala,443  Árboles fuera de bosque y otras áreas naturales,20,0.009527
ventana_2018_2022,Nivel_2,Guatemala,210 Cuerpos de Agua,15,0.007145
ventana_2018_2022,Nivel_2,Guatemala,323 Frutales,12,0.005716
ventana_2018_2022,Nivel_2,Guatemala,420 Bosque de coníferas,5,0.002382
ventana_2018_2022,Nivel_2,Guatemala,413 Bosque Mixto (Lat-Coniferas),4,0.001905
ventana_2018_2022,Nivel_2,Guatemala,411 Latifoliado maduro húmedo,2,0.000953
ventana_2018_2022,Nivel_2,Guatemala,442 Plantaciones forestales,1,0.000476
ventana_2018_2022,Nivel_2,Guatemala,441 Masa arbórea ribereña,1,0.000476
ventana_2018_2022,Nivel_2,Honduras,321 Café,68207,32.982906
ventana_2018_2022,Nivel_2,Honduras,311 Palma aceitera,34273,16.573418
ventana_2018_2022,Nivel_2,Honduras,410 Bosque latifoliado y mixto,23546,11.386155
ventana_2018_2022,Nivel_2,Honduras,420 Bosque de coníferas,17675,8.547112
ventana_2018_2022,Nivel_2,Honduras,332 Pastizales naturales y cultivados,13735,6.641843
ventana_2018_2022,Nivel_2,Honduras,333 Matorrales (barbecho o en descanso),12877,6.22694
ventana_2018_2022,Nivel_2,Honduras,414 Bosque seco o deciduo,8345,4.035397
ventana_2018_2022,Nivel_2,Honduras,313 Caña de azúcar,6375,3.082763
ventana_2018_2022,Nivel_2,Honduras,331 Granos básicos y hortalizas  y otros,5831,2.819701
ventana_2018_2022,Nivel_2,Honduras,413 Bosque Mixto (Lat-Coniferas),4338,2.09773
ventana_2018_2022,Nivel_2,Honduras,220 Humedales,2373,1.147513
ventana_2018_2022,Nivel_2,Honduras,325 Otros sistemas agroforestales o silvopastoriles,2205,1.066273
ventana_2018_2022,Nivel_2,Honduras,430 Manglares,1597,0.772262
ventana_2018_2022,Nivel_2,Honduras,110 Urbano,1346,0.650886
ventana_2018_2022,Nivel_2,Honduras,312 Bananeras,1068,0.516453
ventana_2018_2022,Nivel_2,Honduras,315 Otros cultivos intensivos no arbóreos,1050,0.507749
ventana_2018_2022,Nivel_2,Honduras,210 Cuerpos de Agua,905,0.437631
ventana_2018_2022,Nivel_2,Honduras,314 Piña,594,0.287241
ventana_2018_2022,Nivel_2,Honduras,323 Frutales,189,0.091395
ventana_2018_2022,Nivel_2,Honduras,"122 Suelo desnudo, arena, rocoso, lava, otros",126,0.06093
ventana_2018_2022,Nivel_2,Honduras,121 Otros artificializado,60,0.029014
ventana_2018_2022,Nivel_2,Honduras,112 Urbano discontinuo,39,0.018859
ventana_2018_2022,Nivel_2,Honduras,442 Plantaciones forestales,24,0.011606
ventana_2018_2022,Nivel_2,Honduras,322 Cacao,17,0.008221
ventana_2018_2022,Nivel_2,México,410 Bosque latifoliado y mixto,1184,53.261359
ventana_2018_2022,Nivel_2,México,333 Matorrales (barbecho o en descanso),327,14.709852
ventana_2018_2022,Nivel_2,México,332 Pastizales naturales y cultivados,156,7.017544
ventana_2018_2022,Nivel_2,México,315 Otros cultivos intensivos no arbóreos,144,6.477733
ventana_2018_2022,Nivel_2,México,414 Bosque seco o deciduo,112,5.038237
ventana_2018_2022,Nivel_2,México,413 Bosque Mixto (Lat-Coniferas),79,3.553756
ventana_2018_2022,Nivel_2,México,412 Latifoliado secundario húmedo,79,3.553756
ventana_2018_2022,Nivel_2,México,420 Bosque de coníferas,44,1.979307
ventana_2018_2022,Nivel_2,México,220 Humedales,36,1.619433
ventana_2018_2022,Nivel_2,México,311 Palma aceitera,19,0.854701
ventana_2018_2022,Nivel_2,México,430 Manglares,16,0.719748
ventana_2018_2022,Nivel_2,México,321 Café,8,0.359874
ventana_2018_2022,Nivel_2,México,110 Urbano,6,0.269906
ventana_2018_2022,Nivel_2,México,312 Bananeras,5,0.224921
ventana_2018_2022,Nivel_2,México,445 Bosque de Palmas,4,0.179937
ventana_2018_2022,Nivel_2,México,442 Plantaciones forestales,4,0.179937
ventana_2018_2022,Nivel_2,Nicaragua,210 Cuerpos de Agua,25,36.231884
ventana_2018_2022,Nivel_2,Nicaragua,332 Pastizales naturales y cultivados,23,33.333333
ventana_2018_2022,Nivel_2,Nicaragua,321 Café,8,11.594203
ventana_2018_2022,Nivel_2,Nicaragua,220 Humedales,6,8.695652
ventana_2018_2022,Nivel_2,Nicaragua,430 Manglares,5,7.246377
ventana_2018_2022,Nivel_2,Nicaragua,410 Bosque latifoliado y mixto,1,1.449275
ventana_2018_2022,Nivel_2,Nicaragua,311 Palma aceitera,1,1.449275
ventana_2018_2022,Nivel_2,Panamá,315 Otros cultivos intensivos no arbóreos,12945,44.30943
ventana_2018_2022,Nivel_2,Panamá,313 Caña de azúcar,5622,19.243539
ventana_2018_2022,Nivel_2,Panamá,311 Palma aceitera,3498,11.973301
ventana_2018_2022,Nivel_2,Panamá,312 Bananeras,2042,6.98956
ventana_2018_2022,Nivel_2,Panamá,411 Latifoliado maduro húmedo,1764,6.037994
ventana_2018_2022,Nivel_2,Panamá,332 Pastizales naturales y cultivados,1163,3.980832
ventana_2018_2022,Nivel_2,Panamá,412 Latifoliado secundario húmedo,951,3.255177
ventana_2018_2022,Nivel_2,Panamá,314 Piña,414,1.41708
ventana_2018_2022,Nivel_2,Panamá,333 Matorrales (barbecho o en descanso),305,1.043984
ventana_2018_2022,Nivel_2,Panamá,430 Manglares,109,0.373096
ventana_2018_2022,Nivel_2,Panamá,331 Granos básicos y hortalizas  y otros,96,0.328598
ventana_2018_2022,Nivel_2,Panamá,110 Urbano,93,0.31833
ventana_2018_2022,Nivel_2,Panamá,210 Cuerpos de Agua,78,0.266986
ventana_2018_2022,Nivel_2,Panamá,442 Plantaciones forestales,53,0.181414
ventana_2018_2022,Nivel_2,Panamá,410 Bosque latifoliado y mixto,22,0.075304
ventana_2018_2022,Nivel_2,Panamá,220 Humedales,16,0.054766
ventana_2018_2022,Nivel_2,Panamá,445 Bosque de Palmas,10,0.034229
ventana_2018_2022,Nivel_2,Panamá,321 Café,10,0.034229
ventana_2018_2022,Nivel_2,Panamá,121 Otros artificializado,10,0.034229
ventana_2018_2022,Nivel_2,Panamá,325 Otros sistemas agroforestales o silvopastoriles,5,0.017114
ventana_2018_2022,Nivel_2,Panamá,"122 Suelo desnudo, arena, rocoso, lava, otros",4,0.013692
ventana_2018_2022,Nivel_2,Panamá,323 Frutales,3,0.010269
ventana_2018_2022,Nivel_2,Panamá,910 Otras,2,0.006846
