subset,xy_group_id,lon,lat,pais_grupo,tipo_grupo_original,n_registros_original,n_registros_conflicto,n_paises,n_fuentes,n_anios,n_nivel0,n_nivel1,n_nivel2,anio_min,anio_max,paises,fuentes,anios,valores_nivel_0,valores_nivel_1,valores_nivel_2,flag_conflicto_mismo_anio,flag_conflicto_multifuente_mismo_anio,max_fuentes_en_un_anio,max_nivel1_en_un_anio,max_nivel2_en_un_anio,flag_forestal,flag_no_forestal,flag_bosque_vs_no_bosque,flag_agropecuario,flag_residual_otras,flag_agua_humedal,tipo_conflicto,severidad_conflicto,recomendacion_operativa,score_prioridad_revision
ventana_2018_2022,XY_000000913831,-87.75417432,14.40673137,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","332 Pastizales naturales y cultivados,321 Café",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000919820,-87.70925855,14.40673137,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2018,2019,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales","333 Matorrales (barbecho o en descanso),332 Pastizales naturales y cultivados",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000922355,-87.66434279,15.28258877,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2020,2019,2021,2022","30 Tierras de Cultivo y Pastos,20 Tierras húmedas y agua","33 Cultivos extensivos, Pastizales y matorrales,21 Cuerpos de Agua","333 Matorrales (barbecho o en descanso),210 Cuerpos de Agua",0,0,1,1,1,0,1,0,1,0,1,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000922356,-87.66434279,15.30504665,Honduras,conflicto_tematico_xy,18,5,1,1,5,2,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2018,2019,2020,2021,2022","30 Tierras de Cultivo y Pastos,20 Tierras húmedas y agua","33 Cultivos extensivos, Pastizales y matorrales,21 Cuerpos de Agua","332 Pastizales naturales y cultivados,210 Cuerpos de Agua",0,0,1,1,1,0,1,0,1,0,1,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000923288,-87.64188491,13.91265796,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2018,2019,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales","333 Matorrales (barbecho o en descanso),332 Pastizales naturales y cultivados",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000923373,-87.64188491,15.82157794,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2018,2019,2021,2022",30 Tierras de Cultivo y Pastos,"31 Cultivos intensivos No-Arbóreos,33 Cultivos extensivos, Pastizales y matorrales","311 Palma aceitera,332 Pastizales naturales y cultivados",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000924252,-87.61942702,14.3618156,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2018,2019,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales","333 Matorrales (barbecho o en descanso),331 Granos básicos y hortalizas  y otros",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000924285,-87.61942702,15.10292571,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2018,2019,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales","333 Matorrales (barbecho o en descanso),332 Pastizales naturales y cultivados",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000926809,-87.57451125999998,13.89020008,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2018,2019,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","332 Pastizales naturales y cultivados,321 Café",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000928530,-87.55205338,14.87834689,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,2,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2018,2019,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","332 Pastizales naturales y cultivados,321 Café",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
ventana_2018_2022,XY_000000928547,-87.55205338,15.26013089,Honduras,conflicto_tematico_xy,18,5,1,1,5,1,1,2,2018,2022,Honduras,FCPF - Malla MRV-REDD+ Honduras,"2020,2018,2019,2021,2022",30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales","333 Matorrales (barbecho o en descanso),332 Pastizales naturales y cultivados",0,0,1,1,1,0,1,0,1,0,0,posible_cambio_temporal,media,evaluar_como_cambio_temporal_potencial,55
