xy_year_group_id,xy_group_id,lon,lat,year_ref,records,n_class_codes,n_class_group_codes,n_sources,country,country_code,has_thematic_conflict
SRC10_CRI_2021__XYY__0131643a3eda,SRC10_CRI_2021__XY__6fd7f8600b37,-85.365335,10.435492,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0131d3e095c3,SRC10_CRI_2021__XY__57a0b97f6803,-85.24396,10.500505,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0131ed8e055b,SRC10_CRI_2021__XY__947c505ffcc6,-85.432282,10.300059,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0133aad50885,SRC10_CRI_2021__XY__e454dbf99954,-85.451668,10.385641,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01399dfa964f,SRC10_CRI_2021__XY__e36901d32310,-85.197296,10.10673,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__014211e63a67,SRC10_CRI_2021__XY__88430c0c7b20,-85.277609,10.147457,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01499de68479,SRC10_CRI_2021__XY__3f261978ff6f,-85.57943,10.410505,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__014aab17e5a2,SRC10_CRI_2021__XY__b4aa99216f7d,-85.386955,10.158931,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__014bf257b1d4,SRC10_CRI_2021__XY__8a98eadb8dd2,-85.573719,10.515749,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__015154a0c4fd,SRC10_CRI_2021__XY__8b67d606cf7b,-85.457721,10.085088,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0152d1c4a150,SRC10_CRI_2021__XY__39cef741cd74,-85.694567,10.506463,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01549e2a2d5b,SRC10_CRI_2021__XY__d4398f200d84,-85.798633,10.153459,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0155acf41cb5,SRC10_CRI_2021__XY__33b10fb7d138,-85.324086,10.164166,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__015b912f8100,SRC10_CRI_2021__XY__e084d152c4fb,-85.697121,10.087238,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0160244e9a09,SRC10_CRI_2021__XY__508ecb26374e,-85.457861,10.355448,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01626a98657d,SRC10_CRI_2021__XY__0712042806e3,-85.519975,10.10178,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__016744548de7,SRC10_CRI_2021__XY__1f2d2ce70297,-85.219346,10.357647,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01675b49a315,SRC10_CRI_2021__XY__272d686a7d14,-85.336598,10.285368,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__016ccf564b39,SRC10_CRI_2021__XY__a6204cf46a3b,-85.470571,10.365043,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__016e1e0dda50,SRC10_CRI_2021__XY__d06cdb667d49,-85.248039,10.137917,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__016fb30e5f5a,SRC10_CRI_2021__XY__1341e66b286e,-85.760896,10.194683,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0172893ca669,SRC10_CRI_2021__XY__3bc20d5ba129,-85.425227,10.514293,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__017b2654f40c,SRC10_CRI_2021__XY__f9a4f5af71f4,-85.66514,10.225719,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01806dc379d2,SRC10_CRI_2021__XY__a354c96e54b7,-85.801422,10.394975,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01828b30c3b9,SRC10_CRI_2021__XY__4f4f1e977481,-85.40133,10.458262,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0183044b9d57,SRC10_CRI_2021__XY__cef89f7c01c8,-85.238415,10.375675,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0186fc8c1854,SRC10_CRI_2021__XY__cc023e78722b,-85.436546,10.309693,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__0187148ab16e,SRC10_CRI_2021__XY__121ea6b67f46,-85.238845,10.484276,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__018ac8fb8eb7,SRC10_CRI_2021__XY__0535c273e67b,-85.299799,10.415252,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__018e4cb17a90,SRC10_CRI_2021__XY__fe55eb4b7d7d,-85.461211,10.360264,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__018fd1e9d4d6,SRC10_CRI_2021__XY__09998fbbed9a,-85.53666,10.498661,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01982dd6d42c,SRC10_CRI_2021__XY__b8a701820f14,-85.369054,10.319639,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__019943529940,SRC10_CRI_2021__XY__745ee441eeee,-85.260999,10.215096,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__019a9d229360,SRC10_CRI_2021__XY__cb79b42c5b9b,-85.562144,10.527494,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__019f051f7b8c,SRC10_CRI_2021__XY__39e323aed640,-85.653076,10.148193,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01a2c9fa56c3,SRC10_CRI_2021__XY__ce02f9bf68e2,-85.266058,10.425041,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021__XYY__01a3af22d3d7,SRC10_CRI_2021__XY__e1007186a169,-85.257313,10.350261,2021,1,1,1,1,Costa Rica,CRI,0
