xy_group_id,n_extract_units_spectral,n_spectral_rows,spectral_severity_order_max,spectral_alert_count_sum,pct_extract_units_sin_alerta,pct_extract_units_alerta_baja,pct_extract_units_alerta_media,pct_extract_units_alerta_alta,pct_extract_units_baja_disponibilidad,pct_extract_units_sin_datos,pct_extract_units_revision_espectral,s2yr_months_obs_median,s2yr_obs_total_median,s2yr_obs_mean_median,s2yr_cloudprob_median,s2yr_ndvi_mean,s2yr_ndvi_median,s2yr_ndvi8a_mean,s2yr_ndvi8a_median,s2yr_ndre_mean,s2yr_ndre_median,spectral_alert_level_max,score_espectral
SRC10_CRI_2021_A1__XY__f5030c937d68,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,41.0,3.4166666666666665,2.0,0.6291103662922432,0.6539512625535383,0.6594272739864057,0.6877942973400704,0.43163153334052456,0.4456389140697786,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f5032f8d7f65,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,35.0,2.9166666666666665,3.75,0.38723499964508507,0.2740517806950077,0.4155200306301785,0.3127435939374916,0.24362281291023047,0.1758637367577156,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f50a00e66b9b,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,39.0,3.25,1.0,0.6793983668121513,0.7604221285892634,0.708711013783977,0.7792200465730438,0.45489861621605915,0.4917434845439746,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f50d6f0867a3,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,41.0,3.4166666666666665,6.5,0.3753026453748945,0.3617028014594534,0.4168600411751586,0.3977947248410213,0.2581670798869344,0.2529631579371511,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f50da28fe587,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,39.0,3.25,0.75,0.8316527617342073,0.8805738356989513,0.8440385180438468,0.8903927886228061,0.629181570294054,0.6727552629830292,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f50fa7d21e17,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,37.0,3.0833333333333335,2.25,0.7150543477964127,0.7997300006291874,0.7360160492960222,0.8132899716166149,0.5229771539847581,0.5731946341533866,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f511b5e87e2f,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,39.0,3.25,3.0,0.5554195795728115,0.5678613852515192,0.5899451441632717,0.6076837867727582,0.37006953332961295,0.3664749126725346,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f5171cf3c09a,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,41.0,3.4166666666666665,1.5,0.8170607537439372,0.8698432758863425,0.8311483589241337,0.8770502671009244,0.58110686629715,0.6190577739420153,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f51be2bdf953,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,41.0,3.4166666666666665,1.0,0.7954999012295277,0.8622271850340895,0.8048953875084891,0.8660336193929661,0.5848450800419903,0.6388136538493461,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f51cba889be5,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,43.0,3.5833333333333335,4.75,0.2611024592997185,0.2748008847366471,0.2924149958959195,0.29784315766991976,0.18257876635580642,0.1751970345029826,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f5229f30a9bd,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,39.0,3.25,1.0,0.7771393400898282,0.8107197435462112,0.7986948084808713,0.8294171272618729,0.5361177534272485,0.5684949873053868,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f5240829c766,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,40.0,3.3333333333333335,2.25,0.5304099056732483,0.5715520512339693,0.5702916420704818,0.6136227147895869,0.4025100640053032,0.42309082176766294,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f528b0df012a,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,41.0,3.4166666666666665,3.25,0.5343196945900291,0.6346545217849844,0.5635976934423464,0.6616633313780502,0.3980921133317609,0.44587834653761627,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f5296e64b4fe,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,46.0,3.8333333333333335,6.5,0.3464741181503126,0.3652795368884174,0.385606993474233,0.393908514634954,0.31054811099761864,0.32295021249722644,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f529acb9899f,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,37.0,3.0833333333333335,3.75,0.5640696211771016,0.5519442088252391,0.5990181931032409,0.5858653439499326,0.3789492499949357,0.3501075836748194,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f52b9ffe849a,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,37.0,3.0833333333333335,2.75,0.5730485525139187,0.5644207364656375,0.604154707864218,0.5996230763352277,0.42319982457023264,0.40319405637693406,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f52ed7011bbd,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,43.0,3.5833333333333335,3.5,0.5340954608419523,0.5443509617680259,0.5627563514690573,0.5673020639627532,0.39885179325545567,0.3831790834493296,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f53298ee6226,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,35.0,2.9166666666666665,4.0,0.34065926315348727,0.3217756928447493,0.37633825052407105,0.35914611130749463,0.2599707875270546,0.24901384305613972,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f5335e54378b,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,39.0,3.25,2.25,0.46920547756911385,0.44747509418706594,0.5092555482266946,0.49943019947911993,0.32321969727690397,0.31730076930215945,sin_alerta,100.0
SRC10_CRI_2021_A1__XY__f535495f1b30,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,41.0,3.4166666666666665,3.75,0.6470582337823862,0.7038264247614895,0.6762115222679376,0.7251895278226954,0.477135025432855,0.5237355508141874,sin_alerta,100.0
