xy_group_id,lon,lat,records,n_years,year_min,year_max,n_class_codes,n_class_group_codes,n_sources,country,country_code,has_temporal_repetition,has_thematic_conflict
SRC10_CRI_2021_A1__XY__008ad79c9dc8,-85.428135,10.139453,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__008fed5a9356,-85.21326,10.421626,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__009402fa55ca,-85.604341,10.520044,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__009779f0a522,-85.688987,10.158868,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__009b48e2e8c3,-85.382677,10.187778,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__009f086ff45b,-85.588385,10.228296,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00a118947d29,-85.337198,10.272713,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00a15a1d0264,-85.482866,10.188114,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00a1ae9ddda3,-85.245757,10.093277,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00a1e2a3d1eb,-85.261535,10.350244,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00a7ede98260,-85.584231,10.242737,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00a880acac2c,-85.248142,10.164464,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00a95fa509be,-85.439437,10.126099,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__00ab6920d495,-85.544712,10.41899,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
