xy_year_group_id,xy_group_id,lon,lat,year_ref,records,n_class_codes,n_class_group_codes,n_sources,country,country_code,has_thematic_conflict
SRC10_CRI_2021_A1__XYY__00420e1e256a,SRC10_CRI_2021_A1__XY__8ff60e839e63,-85.683416,10.302469,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00421c4acde8,SRC10_CRI_2021_A1__XY__b011a6bb6eb5,-85.54318,10.536033,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__0043dfb7ac90,SRC10_CRI_2021_A1__XY__ad5db0849649,-85.634164,10.530282,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__004be5b58d7f,SRC10_CRI_2021_A1__XY__732984e1275e,-85.259554,10.382833,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__004e2ddac801,SRC10_CRI_2021_A1__XY__52287137a82a,-85.345026,10.112747,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__004f49f35b4c,SRC10_CRI_2021_A1__XY__75c7f52c0695,-85.471492,10.560506,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00528f084b43,SRC10_CRI_2021_A1__XY__5e24fa293422,-85.521391,10.39859,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__0053f7096e4a,SRC10_CRI_2021_A1__XY__1765ffa2997d,-85.690612,10.555694,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00543aa22ecc,SRC10_CRI_2021_A1__XY__19640b3355b8,-85.194006,10.355329,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00584355f43e,SRC10_CRI_2021_A1__XY__8e5dda84b077,-85.56806,10.444214,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__0058869f8025,SRC10_CRI_2021_A1__XY__0e5a57af37c6,-85.536339,10.433509,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__0059f09be293,SRC10_CRI_2021_A1__XY__34c8d8b392f9,-85.616549,10.485286,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__0059fe1e8a80,SRC10_CRI_2021_A1__XY__558569f5a2af,-85.202922,10.47838,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__005c68fa6a18,SRC10_CRI_2021_A1__XY__cd215d3d2d12,-85.418287,10.472667,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00622faed24a,SRC10_CRI_2021_A1__XY__86634ec34fbe,-85.355562,10.124217,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__0063a20b640a,SRC10_CRI_2021_A1__XY__2cff0aaca320,-85.591584,10.503217,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__0064203d5384,SRC10_CRI_2021_A1__XY__610b0e6fc557,-85.6983,10.541616,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00668750be2d,SRC10_CRI_2021_A1__XY__ad493ba5df76,-85.254717,10.528105,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__006703753315,SRC10_CRI_2021_A1__XY__72e90c798c89,-85.515483,10.092078,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__0068f32cd05c,SRC10_CRI_2021_A1__XY__4c2d77461f04,-85.531987,10.406986,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__0071352ad86d,SRC10_CRI_2021_A1__XY__16426ef8e8a7,-85.713056,10.543458,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00795b350586,SRC10_CRI_2021_A1__XY__fd22413c6f3c,-85.534506,10.490226,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__008180ee7258,SRC10_CRI_2021_A1__XY__299c5a569835,-85.626449,10.303967,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__0085ed73f6cf,SRC10_CRI_2021_A1__XY__665f3b2362a0,-85.253632,10.485425,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__008a8165cfe6,SRC10_CRI_2021_A1__XY__d5b207364664,-85.519696,10.484264,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__008d01fab202,SRC10_CRI_2021_A1__XY__e3c41a8500e6,-85.211472,10.504895,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__008d55ab5ef7,SRC10_CRI_2021_A1__XY__cce0177ba4ad,-85.451903,10.436317,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00949502fbe3,SRC10_CRI_2021_A1__XY__2e8e05b72f6d,-85.434704,10.126811,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__009bdc20f6b8,SRC10_CRI_2021_A1__XY__315842fac068,-85.521216,10.362394,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__009dd89b95af,SRC10_CRI_2021_A1__XY__f0d1b58b72c9,-85.530106,10.454051,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__009fb4346f47,SRC10_CRI_2021_A1__XY__4ba8b92508f5,-85.521531,10.427547,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00a02f3636d1,SRC10_CRI_2021_A1__XY__15bf5f4c2061,-85.223521,10.345564,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00a53ec10a62,SRC10_CRI_2021_A1__XY__ec4cf2e63d0e,-85.508448,10.340736,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00a7c90ed333,SRC10_CRI_2021_A1__XY__28db32bd3b86,-85.247186,10.324325,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00aba5ba50e3,SRC10_CRI_2021_A1__XY__0f6a61653d2c,-85.521629,10.293551,2021,1,1,1,1,Costa Rica,CRI,0
SRC10_CRI_2021_A1__XYY__00aed7176f0d,SRC10_CRI_2021_A1__XY__c6608c10cbe8,-85.245794,10.10293,2021,1,1,1,1,Costa Rica,CRI,0
