audit_country,level_0_code,level_0_name,level_1_code,level_1_name_ref,level_2_code,level_2_name_ref,n_records,n_extract_id,n_years,n_no_spectral_data,n_low_months_obs,n_high_cloudprob,n_rare_spectral_value,n_spectral_class_review,s2yr_months_obs_median,s2yr_ndvi_median,s2yr_ndre_median,pct_no_spectral_data,pct_low_months_obs,pct_rare_spectral_value,pct_spectral_class_review,pct_alert_medium_high,class_priority_level
Honduras,20,Tierras húmedas y agua,22.0,Humedales,220.0,Humedales,2373,2373,5,152,301,0,62,516,11.0,0.5358712138133235,0.37181305847253665,0.0,0.0,2.743,3.992,3.992,baja_sin_prioridad
Panamá,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,311.0,Palma aceitera,3498,3498,2,0,0,0,259,259,10.75,0.8448675616589569,0.6348158204423016,0.0,0.0,3.7065,3.7065,3.7065,baja_sin_prioridad
Panamá,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",333.0,Matorrales (barbecho o en descanso),305,305,1,1,0,0,10,11,9.0,0.778953001337285,0.5370605227788949,0.328,0.0,3.279,3.607,3.607,baja_sin_prioridad
Costa Rica,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,311.0,Palma aceitera,11850,11850,2,0,0,0,686,686,11.5,0.8575198683700365,0.6466356559685661,0.0,0.0,2.896,2.896,2.896,baja_sin_prioridad
Panamá,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",332.0,Pastizales naturales y cultivados,1163,1163,1,0,1,0,31,32,9.0,0.680441737902394,0.4709976798143851,0.0,0.086,2.666,2.752,2.666,baja_sin_prioridad
Honduras,40,Tierras Forestales,42.0,Bosque de coníferas,420.0,Bosque de coníferas,17675,17675,5,247,5338,0,158,5899,11.0,0.6635582887743324,0.45262842583286894,0.0,0.0,0.603,2.579,2.344,baja_sin_prioridad
Panamá,30,Tierras de Cultivo y Pastos,31.0,Cultivos intensivos No-Arbóreos,314.0,Piña,414,414,1,0,0,0,8,8,10.0,0.6622940282549108,0.47081415020702244,0.0,0.0,1.932,1.932,1.932,baja_sin_prioridad
Panamá,20,Tierras húmedas y agua,21.0,Cuerpos de Agua,210.0,Cuerpos de Agua,78,78,1,0,0,0,0,0,10.0,0.04166137554959905,0.05344921018048275,0.0,0.0,0.0,0.0,0.0,baja_sin_prioridad
Nicaragua,20,Tierras húmedas y agua,21.0,Cuerpos de Agua,210.0,Cuerpos de Agua,25,25,5,2,3,0,0,5,11.0,-0.154228855721393,-0.1626831148804935,0.0,0.0,0.0,0.0,0.0,baja_sin_prioridad
Nicaragua,30,Tierras de Cultivo y Pastos,33.0,"Cultivos extensivos, Pastizales y matorrales",332.0,Pastizales naturales y cultivados,23,23,5,0,1,0,0,1,12.0,0.8018609586629917,0.5749054730264617,0.0,0.0,0.0,0.0,0.0,baja_sin_prioridad
