xy_group_id,n_extract_units_spectral,n_spectral_rows,spectral_severity_order_max,spectral_alert_count_sum,pct_extract_units_sin_alerta,pct_extract_units_alerta_baja,pct_extract_units_alerta_media,pct_extract_units_alerta_alta,pct_extract_units_baja_disponibilidad,pct_extract_units_sin_datos,pct_extract_units_revision_espectral,s2yr_months_obs_median,s2yr_obs_total_median,s2yr_obs_mean_median,s2yr_cloudprob_median,s2yr_ndvi_mean,s2yr_ndvi_median,s2yr_ndvi8a_mean,s2yr_ndvi8a_median,s2yr_ndre_mean,s2yr_ndre_median,spectral_alert_level_max,score_espectral
SRC15_PAN_2021__XY__660c82579e9e,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,29.0,2.4166666666666665,3.75,0.887456630148995,0.8944827416856915,0.8972987872584108,0.9051888692733724,0.662721504000975,0.6644176638671087,sin_alerta,100.0
SRC15_PAN_2021__XY__6612d66afa36,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,1.8333333333333333,2.0,0.8029203081435715,0.8222755929150405,0.817270511815255,0.8336611407698791,0.541044009330774,0.5675607610109408,sin_alerta,100.0
SRC15_PAN_2021__XY__661595d4c2d6,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,26.0,2.1666666666666665,3.0,0.6736882150302538,0.7094391244870042,0.7010564990749505,0.7314919251473981,0.4413444068991721,0.4643677555098549,sin_alerta,100.0
SRC15_PAN_2021__XY__661beba4f8bf,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,1.25,4.0,0.7333761390659612,0.7180796731358529,0.7576009547715009,0.7707641196013288,0.5289120514162371,0.5271083527830822,sin_alerta,100.0
SRC15_PAN_2021__XY__661ebdb4dfa4,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,29.0,2.4166666666666665,3.0,0.7857614251199194,0.8177716070808747,0.8006259253234074,0.8226906385616862,0.5312465285628892,0.536646512313818,sin_alerta,100.0
SRC15_PAN_2021__XY__66216fad3794,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,28.0,2.3333333333333335,6.0,0.8800377752158787,0.8827740295581101,0.8877924195061088,0.8910180133695751,0.619917089324561,0.620041691774099,sin_alerta,100.0
SRC15_PAN_2021__XY__66254bac80dc,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,2.0833333333333335,4.75,0.49548237071904755,0.5417526271849606,0.5298176769769916,0.5828593876378116,0.3203510157494332,0.35843326647378443,sin_alerta,100.0
SRC15_PAN_2021__XY__662926d12769,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,29.0,2.4166666666666665,5.0,0.8436717928285099,0.8548521678255627,0.8587156959174286,0.869819556001785,0.6194356187451568,0.6295317659454294,sin_alerta,100.0
SRC15_PAN_2021__XY__663b64e1159a,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,30.0,2.5,3.5,0.872309350071486,0.8762405629161433,0.8829133334056266,0.8863858961802155,0.560286301403076,0.565907611609941,sin_alerta,100.0
SRC15_PAN_2021__XY__664074ebf526,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,28.0,2.3333333333333335,4.5,0.5857102401839896,0.635050078001075,0.6221426236669568,0.6650816867072963,0.4268639950379457,0.4593782479375828,sin_alerta,100.0
SRC15_PAN_2021__XY__664660b6eb83,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,27.0,2.25,4.0,0.8760259827249169,0.9016227180527384,0.8861459753383094,0.9124415812168838,0.6602583178904591,0.6745242828741834,sin_alerta,100.0
SRC15_PAN_2021__XY__664dbbf2b78e,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,26.0,2.1666666666666665,7.0,0.6670042465483242,0.6684722190545589,0.6962907761991693,0.6969737289811961,0.44266746175068794,0.43809240983827213,sin_alerta,100.0
SRC15_PAN_2021__XY__6651f7390d6c,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,21.0,1.75,25.0,0.8009127627891242,0.8049158118831043,0.814633177475198,0.8188973963961892,0.5979519484207861,0.5918620988381809,sin_alerta,100.0
SRC15_PAN_2021__XY__66581ed138ae,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,1.4166666666666667,15.5,0.7745416635774397,0.7794568929231003,0.7924084198606475,0.81117757075942,0.564321656312782,0.5614597837814574,sin_alerta,100.0
SRC15_PAN_2021__XY__66590913407a,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,25.0,2.0833333333333335,7.5,0.7842617215873045,0.7945791726105562,0.7983807996608158,0.8052910052910052,0.5143398892753104,0.506001446131598,sin_alerta,100.0
SRC15_PAN_2021__XY__665a428f84cf,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,2.0,2.0,0.6920806617024782,0.758315774449214,0.7168850673299458,0.7775294796539031,0.5039795828904435,0.5490209223957074,sin_alerta,100.0
SRC15_PAN_2021__XY__665bc5a51730,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,25.0,2.0833333333333335,5.25,0.7225768105878503,0.7409390656114616,0.7505983655056138,0.7674737023887264,0.5479665595238695,0.5728864035662823,sin_alerta,100.0
SRC15_PAN_2021__XY__665dfc6d0374,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,2.0833333333333335,1.5,0.742505251333833,0.766705267505183,0.765122032784095,0.7899345002907807,0.4965458368379908,0.5040824777525352,sin_alerta,100.0
SRC15_PAN_2021__XY__6660c83eb6dc,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,28.0,2.3333333333333335,4.0,0.6971877566755673,0.6995700450707846,0.7261867318920429,0.7304423376986416,0.5038958505777915,0.5182306678503408,sin_alerta,100.0
SRC15_PAN_2021__XY__66678340fd0f,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,24.0,2.0,3.0,0.7543113777166206,0.8297371710415189,0.7805909060842594,0.8454827544625997,0.538915214712116,0.5628140703517589,sin_alerta,100.0
SRC15_PAN_2021__XY__6668c23a09dd,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,1.25,15.0,0.2446178803877704,0.29371638941012884,0.3082068049770438,0.3525306641122133,0.22429005066899835,0.2497585342942103,sin_alerta,100.0
SRC15_PAN_2021__XY__66691a583650,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,25.0,2.0833333333333335,3.5,0.5236310354727934,0.5207763440927355,0.5609368639542858,0.5751731818851886,0.3651953033890052,0.3817962479261558,sin_alerta,100.0
SRC15_PAN_2021__XY__66706576e4dd,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,2.0833333333333335,7.0,0.6548797695723971,0.7148877951079604,0.6837949770488534,0.7387496884354621,0.4344908815207281,0.4541390315624037,sin_alerta,100.0
SRC15_PAN_2021__XY__667133764579,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,1.8333333333333333,2.0,0.6458944864432827,0.6453752181500872,0.6696528636944835,0.670476721494285,0.42690813291058816,0.438965811220894,sin_alerta,100.0
SRC15_PAN_2021__XY__6673f55e3eb0,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,30.0,2.5,3.0,0.8748745279186813,0.8794849101897086,0.8828246404864802,0.8882947118241237,0.6154334589080359,0.6193630573248409,sin_alerta,100.0
SRC15_PAN_2021__XY__6673f5e1afb4,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,29.0,2.4166666666666665,3.0,0.8234660877249348,0.8590424655081942,0.8448483165089489,0.8671012568056116,0.6097822733206508,0.6147433367972681,sin_alerta,100.0
