xy_year_group_id,xy_group_id,lon,lat,year_ref,records,n_class_codes,n_class_group_codes,n_sources,country,country_code,has_thematic_conflict
SRC15_PAN_2021__XYY__016d508b366f,SRC15_PAN_2021__XY__27e915213662,-82.498541,8.411272,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__016dae13f74d,SRC15_PAN_2021__XY__f56b7791ccfa,-82.312394,8.416459,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__016de431f3f1,SRC15_PAN_2021__XY__80b460de4ffa,-81.978418,8.333774,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__0177f8730cfa,SRC15_PAN_2021__XY__4c004acc4af7,-82.244492,8.482243,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__017b02b664bc,SRC15_PAN_2021__XY__19cb0d62aa86,-81.880658,8.270692,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__018457d4186b,SRC15_PAN_2021__XY__9c7188dedb1a,-82.085772,8.568633,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__018f99dfea86,SRC15_PAN_2021__XY__02fc1cc7702b,-82.395955,8.291832,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__019239cf50dd,SRC15_PAN_2021__XY__44fb7d4fcbe3,-82.212223,8.328607,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__019808a43a89,SRC15_PAN_2021__XY__1d3b1b9cbe1b,-82.267082,8.445998,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__019ac523f106,SRC15_PAN_2021__XY__be029b5b44e0,-82.155586,8.367211,2021,1,1,1,1,Panamá,PAN,0
SRC15_PAN_2021__XYY__01a568268570,SRC15_PAN_2021__XY__db659a9220c0,-81.999296,8.507819,2021,1,1,1,1,Panamá,PAN,0
