batch_id,country,year_ref,records,batch_csv
s2sr_units_El_Salvador_2018_batch_005,El Salvador,2018,50000,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_El_Salvador_2018_batch_005.csv
s2sr_units_El_Salvador_2018_batch_006,El Salvador,2018,50000,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_El_Salvador_2018_batch_006.csv
s2sr_units_El_Salvador_2018_batch_007,El Salvador,2018,50000,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_El_Salvador_2018_batch_007.csv
s2sr_units_El_Salvador_2018_batch_008,El Salvador,2018,50000,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_El_Salvador_2018_batch_008.csv
s2sr_units_El_Salvador_2018_batch_009,El Salvador,2018,50000,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_El_Salvador_2018_batch_009.csv
s2sr_units_El_Salvador_2018_batch_010,El Salvador,2018,50000,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_El_Salvador_2018_batch_010.csv
s2sr_units_El_Salvador_2018_batch_011,El Salvador,2018,50000,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_El_Salvador_2018_batch_011.csv
s2sr_units_El_Salvador_2018_batch_012,El Salvador,2018,21498,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_El_Salvador_2018_batch_012.csv
s2sr_units_El_Salvador_2019_batch_001,El Salvador,2019,112,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_El_Salvador_2019_batch_001.csv
s2sr_units_Guatemala_2018_batch_001,Guatemala,2018,2628,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_Guatemala_2018_batch_001.csv
s2sr_units_Guatemala_2019_batch_001,Guatemala,2019,372,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_Guatemala_2019_batch_001.csv
s2sr_units_Guatemala_2020_batch_001,Guatemala,2020,50000,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_Guatemala_2020_batch_001.csv
s2sr_units_Guatemala_2020_batch_002,Guatemala,2020,50000,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_Guatemala_2020_batch_002.csv
s2sr_units_Guatemala_2020_batch_003,Guatemala,2020,50000,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_Guatemala_2020_batch_003.csv
s2sr_units_Guatemala_2020_batch_004,Guatemala,2020,50000,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\processed\s2_sr_gee_input\batches\s2sr_units_Guatemala_2020_batch_004.csv
