source_csv,path,size_mb,selected_for_processing,n_columns_header,has_extract_id,has_month
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Honduras_2018_batch_002.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Honduras_2018_batch_002.csv,251.217,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Honduras_2018_batch_003.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Honduras_2018_batch_003.csv,166.854,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Honduras_2019_batch_001.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Honduras_2019_batch_001.csv,111.778,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Honduras_2020_batch_001.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Honduras_2020_batch_001.csv,111.559,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Honduras_2021_batch_001.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Honduras_2021_batch_001.csv,111.579,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Honduras_2022_batch_001.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Honduras_2022_batch_001.csv,110.993,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Mxico_2018_batch_001.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Mxico_2018_batch_001.csv,4.242,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Mxico_2019_batch_001.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Mxico_2019_batch_001.csv,8.612,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Mxico_2020_batch_001.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Mxico_2020_batch_001.csv,0.007,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Nicaragua_2018_batch_001.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Nicaragua_2018_batch_001.csv,0.026,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Nicaragua_2019_batch_001.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Nicaragua_2019_batch_001.csv,0.024,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Nicaragua_2020_batch_001.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Nicaragua_2020_batch_001.csv,0.024,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Nicaragua_2021_batch_001.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Nicaragua_2021_batch_001.csv,0.037,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Nicaragua_2022_batch_001.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Nicaragua_2022_batch_001.csv,0.024,True,49,True,True
pgbm_s2sr_monthly_s2cloudless_s2sr_units_Panam_2021_batch_001.csv,C:\Users\jesus\OneDrive\Ejercicio 7\Documents\Work\CR\Github\PGBM_actividad_1_diagnostico\data\raw\PGBM_S2SR_monthly_s2cloudless\pgbm_s2sr_monthly_s2cloudless_s2sr_units_Panam_2021_batch_001.csv,170.876,True,49,True,True
