distance_m,raster_value,class_value,class_name,class_name_en,stratum_id,n_points,n_protected,class_area_ha
2000,12,12,Afloramiento rocoso y tierra desnuda,Rocks and Bare Soils,12 | Afloramiento rocoso y tierra desnuda,6,1,494.09000000000003
2000,13,13,Playa y arenal natural,Sand Beaches,13 | Playa y arenal natural,6,1,838.4200000000001
2000,15,15,Cítrico,Citrus,15 | Cítrico,2,1,119.56
2000,16,16,Palma aceitera,Oil Palm,16 | Palma aceitera,12,1,3721.1800000000003
2000,18,18,Otro cultivo permanente,Permanent Crops,18 | Otro cultivo permanente,2,1,541.57
2000,19,19,Arroz,Rice,19 | Arroz,7,1,2744.92
2000,20,20,Caña de azúcar,Sugar Cane,20 | Caña de azúcar,8,1,1839.57
2000,23,23,Piña,Pineapple,23 | Piña,2,1,575.6
2000,24,24,Otro cultivo anual,Other Annual Crops,24 | Otro cultivo anual,3,1,1368.8500000000001
2000,25,25,Área heterogénea de producción agropecuaria,Heterogeneous Area Agricultural Production,25 | Área heterogénea de producción agropecuaria,1,1,11.25
2000,26,26,Pasto,Pasture,26 | Pasto,291,1,116298.08
2000,27,27,Superficie de agua,Water Bodies,27 | Superficie de agua,20,1,9100.77
2000,28,28,Área poblada,Urban Areas,28 | Área poblada,22,1,6580.89
2000,29,29,Infraestructura,Infrastructure,29 | Infraestructura,5,1,2810.73
2000,31,31,Estanque para acuicultura,Aquaculture Ponds,31 | Estanque para acuicultura,1,1,5.8
3000,1,1,Bosque latifoliado mixto maduro,Mature Broadleaf Forest,1 | Bosque latifoliado mixto maduro,22,1,20102.95
3000,2,2,Bosque latifoliado mixto secundario,Secondary Mixed Broadleaf Forest,2 | Bosque latifoliado mixto secundario,85,1,73495.42
3000,3,3,Bosque de mangle,Mangrove Forest,3 | Bosque de mangle,45,10,27792.84
3000,7,7,Bosque plantado de coníferas,Coniferous Forest,7 | Bosque plantado de coníferas,1,1,102.85000000000001
3000,8,8,Bosque plantado de latifoliadas,Broadleaf Forest,8 | Bosque plantado de latifoliadas,3,1,5579.09
3000,9,9,Rastrojo y vegetación arbustiva,Shrubs and Bushes,9 | Rastrojo y vegetación arbustiva,48,1,39050.94
3000,10,10,Vegetación herbácea,Herbaceous Vegetation,10 | Vegetación herbácea,4,1,3847.41
3000,11,11,Vegetación baja inundable,Flooded Vegetation,11 | Vegetación baja inundable,1,1,110.62
3000,12,12,Afloramiento rocoso y tierra desnuda,Rocks and Bare Soils,12 | Afloramiento rocoso y tierra desnuda,3,1,494.09000000000003
